ord,fio,bday,party,okrug,vidvinut,registr,data,num
278,Зафесов Владислав Гучевич,23.02.1950,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",1,выдвинут,выбывший (после регистрации) кандидат,18.08.2016,121/717-6
450,Коновалова Нина Николаевна,19.02.1947,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",1,выдвинут,зарегистрирован,29.07.2016,111/536-6
730,Гукасян Сергей Георгиевич,17.01.1983,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,1,выдвинут,зарегистрирован,27.07.2016,110/522-6
1076,Салов Евгений Иванович,30.10.1948,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",1,выдвинут,зарегистрирован,25.07.2016,108/498-6
1273,Огиенко Денис Сергеевич,01.01.1986,Политическая партия ЛДПР - Либерально-демократическая партия России,1,выдвинут,зарегистрирован,19.07.2016,104/462-6
1797,Бриних Валерий Александрович,12.03.1964,"Политическая партия ""Российская экологическая партия ""Зеленые""",1,выдвинут,зарегистрирован,29.07.2016,111/537-6
2030,Лобода Александр Павлович,08.10.1956,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,1,выдвинут,зарегистрирован,25.07.2016,108/497-6
2370,Резник Владислав Матусович,17.05.1954,Самовыдвижение,1,выдвинут,зарегистрирован,11.08.2016,118/700-6
2409,Тхакушинов Эдуард Китович,13.02.1959,Самовыдвижение,1,утративший статус выдвинутого кандидата,,07.07.2016,97
2410,Тхаркахов Мухарбий Хаджиретович,14.03.1956,Самовыдвижение,1,выдвинут,отказ в регистрации,12.08.2016,119/706-6
