ord,fio,bday,party,okrug,vidvinut,registr,data,num
207,Яковлева Лариса Николаевна,03.02.1963,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",22,выдвинут,зарегистрирован,26.07.2016,176/1261
435,Золотухин Роман Владимирович,02.11.1978,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",22,выдвинут,зарегистрирован,26.07.2016,176/1264
668,Смышляев Андрей Александрович,10.01.1977,"Политическая партия ""Гражданская Платформа""",22,выдвинут,зарегистрирован,22.07.2016,175/1250
902,Шпарбер Денис Викторович,28.11.1976,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,22,выдвинут,зарегистрирован,26.07.2016,176/1262
991,Казанков Сергей Иванович,09.10.1972,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",22,выдвинут,зарегистрирован,20.07.2016,174/1233
1334,Федоров Альберт Иванович,24.06.1975,Политическая партия ЛДПР - Либерально-демократическая партия России,22,выдвинут,зарегистрирован,20.07.2016,174/1234
1762,Уланова Екатерина Валентиновна,01.07.1969,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",22,выдвинут,зарегистрирован,26.07.2016,176/1260
1831,Зонов Юрий Александрович,20.11.1962,"Политическая партия ""Российская экологическая партия ""Зеленые""",22,выдвинут,зарегистрирован,26.07.2016,176/1263
1967,Глущенко Наталия Владимировна,28.07.1970,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,22,выдвинут,зарегистрирован,26.07.2016,176/1259
2253,Казаков Олег Александрович,09.02.1961,Самовыдвижение,22,выдвинут,зарегистрирован,11.08.2016,178/1274
2346,Петров - Чоткар Григорий Александрович,02.07.1964,Самовыдвижение,22,утративший статус выдвинутого кандидата,,03.08.2016,б/н
2441,Шмелёв Юрий Геннадьевич,09.06.1964,Самовыдвижение,22,выдвинут,зарегистрирован,11.08.2016,178/1275
