ord,fio,bday,party,okrug,vidvinut,registr,data,num
57,Ефимов Виталий Борисович,04.04.1940,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",23,выдвинут,зарегистрирован,25.07.2016,132/1044-5
280,Иванова Юлия Николаевна,06.11.1976,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",23,выдвинут,зарегистрирован,29.07.2016,133/1055-5
518,Сорокин Сергей Федорович,14.07.1941,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",23,выдвинут,зарегистрирован,29.07.2016,133/1054-5
747,Ераносян Армен Эдикович,17.06.1987,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,23,выдвинут,зарегистрирован,25.07.2016,132/1045-5
1013,Кузякин Дмитрий Викторович,21.12.1961,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",23,выдвинут,зарегистрирован,22.07.2016,131/1033-5
1329,Тюрин Евгений Павлович,04.11.1975,Политическая партия ЛДПР - Либерально-демократическая партия России,23,выдвинут,зарегистрирован,19.07.2016,130/1016-5
1526,Коннова Лариса Андреевна,22.06.1971,"Политическая партия ""ПАТРИОТЫ РОССИИ""",23,выдвинут,зарегистрирован,22.07.2016,131/1034-5
1639,Гридин Владимир Евгеньевич,26.05.1955,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",23,выдвинут,зарегистрирован,22.07.2016,131/1035-5
1965,Гераськин Тимур Владимирович,17.03.1970,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,23,выдвинут,зарегистрирован,25.07.2016,132/1046-5
2230,Елаев Иван Александрович,07.09.1959,Самовыдвижение,23,выдвинут,отказ в регистрации,05.08.2016,135/1070-5
