ord,fio,bday,party,okrug,vidvinut,registr,data,num
372,Тихонов Айсен Анатольевич,23.02.1981,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",24,выдвинут,зарегистрирован,29.07.2016,8/3
523,Тарасов Олег Владимирович,08.05.1959,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",24,выдвинут,зарегистрирован,22.07.2016,7/2
795,Лазарев Александр Михайлович,26.10.1938,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,24,выдвинут,зарегистрирован,20.07.2016,6/2
921,Аммосов Петр Револьдович,22.09.1966,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",24,выдвинут,зарегистрирован,20.07.2016,6/4
1277,Парахин Гаврил Павлович,16.07.1972,Политическая партия ЛДПР - Либерально-демократическая партия России,24,выдвинут,зарегистрирован,15.07.2016,5/1
1659,Заякин Андрей Викторович,23.02.1981,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",24,выдвинут,зарегистрирован,29.07.2016,8/1
1828,Ефремов Айтал Климентович,12.09.1977,"Политическая партия ""Российская экологическая партия ""Зеленые""",24,выдвинут,зарегистрирован,29.07.2016,8/2
2116,Тумусов Федот Семёнович,30.06.1955,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,24,выдвинут,зарегистрирован,20.07.2016,6/3
2162,Атласова Алена Николаевна,13.04.1970,Самовыдвижение,24,выдвинут,отказ в регистрации,14.08.2016,13/5
2185,Борисов Андрей Саввич,28.11.1951,Самовыдвижение,24,выдвинут,отказ в регистрации,14.08.2016,13/12
2315,Местников Максим Иванович,05.07.1967,Самовыдвижение,24,выдвинут,отказ в регистрации,14.08.2016,13/6
2394,Соловьева Зоя Егоровна,10.11.1956,Самовыдвижение,24,выдвинут,отказ в регистрации,14.08.2016,13/7
