ord,fio,bday,party,okrug,vidvinut,registr,data,num
175,Таймазов Артур Борисович,20.07.1979,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",25,выдвинут,зарегистрирован,03.08.2016,169/908-5
496,Писаренко Владимир Петрович,10.01.1966,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",25,выдвинут,зарегистрирован,03.08.2016,169/909-5
815,Мусульбес Нугзар Владимирович,21.10.1964,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,25,выдвинут,зарегистрирован,03.08.2016,169/911-5
1009,Кочиев Роберт Иванович,16.03.1966,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",25,выдвинут,зарегистрирован,03.08.2016,169/913-5
1159,Бестаев Сослан Вигентиевич,18.05.1992,Политическая партия ЛДПР - Либерально-демократическая партия России,25,выдвинут,зарегистрирован,29.07.2016,168/895-5
1597,Фадзаев Арсен Сулейманович,05.09.1962,"Политическая партия ""ПАТРИОТЫ РОССИИ""",25,выдвинут,зарегистрирован,10.08.2016,170/920-5
1764,Хатагов Алексей Михайлович,31.03.1950,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",25,выдвинут,зарегистрирован,03.08.2016,169/912-5
1900,Хацаева Фатима Мусаевна,18.06.1962,"Политическая партия ""Российская экологическая партия ""Зеленые""",25,выдвинут,зарегистрирован,10.08.2016,170/919-5
2026,Кучиев Гарий Юрьевич,28.12.1958,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,25,выдвинут,зарегистрирован,29.07.2016,168/896-5
2145,Агузаров Мурат Кимович,14.06.1963,Самовыдвижение,25,выдвинут,отказ в регистрации,13.08.2016,171/926-5
2222,Джиоев Марат Рузвельтович,26.07.1976,Самовыдвижение,25,выдвинут,отказ в регистрации,10.08.2016,170/921-5
2270,Колхидов Анатолий Майорович,16.05.1965,Самовыдвижение,25,выдвинут,отказ в регистрации,10.08.2016,170/922-5
