ord,fio,bday,party,okrug,vidvinut,registr,data,num
38,Гильмутдинов Ильдар Ирекович,03.09.1962,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",27,выдвинут,зарегистрирован,26.07.2016,11/26
93,Когогина Альфия Гумаровна,22.02.1968,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",29,выдвинут,зарегистрирован,25.07.2016,28
119,Минкин Иршат Султанович,27.07.1963,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",31,выдвинут,зарегистрирован,28.07.2016,12/1
160,Сибагатуллин Фатих Саубанович,01.05.1950,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",26,выдвинут,зарегистрирован,26.07.2016,18
187,Хайров Ринат Шамильевич,22.06.1964,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",30,выдвинут,зарегистрирован,26.07.2016,13/1
188,Хайруллин Айрат Назипович,01.08.1970,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",28,выдвинут,зарегистрирован,28.07.2016,11/1
395,Баканач Олег Васильевич,30.06.1968,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",28,выдвинут,отказ в регистрации,01.08.2016,13/1
402,Бородин Евгений Анатольевич,08.11.1973,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",26,выдвинут,зарегистрирован,28.07.2016,21
456,Кротов Максим Сергеевич,11.02.1984,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",31,выдвинут,зарегистрирован,28.07.2016,12/5
457,Кукоба Людмила Сергеевна,02.03.1959,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",27,выдвинут,зарегистрирован,29.07.2016,12/33
484,Нурутдинов Рафаил Фаттахович,17.02.1949,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",29,выдвинут,зарегистрирован,25.07.2016,27
538,Ханипов Айрат Раисович,26.10.1964,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",30,выдвинут,зарегистрирован,29.07.2016,14/1
717,Валиев Альфред Ракибович,13.04.1964,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,31,выдвинут,зарегистрирован,22.07.2016,11/1
733,Гурьева Татьяна Ивановна,24.01.1960,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,29,выдвинут,зарегистрирован,25.07.2016,25
765,Иосипов Евгений Константинович,27.07.1944,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,28,выдвинут,зарегистрирован,27.07.2016,10/3
772,Карымов Дмитрий Юрьевич,15.07.1972,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,27,выдвинут,зарегистрирован,26.07.2016,11/27
816,Мухаметшин Эдуард Закирович,06.06.1967,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,30,выдвинут,зарегистрирован,22.07.2016,12/2
819,Новиков Дмитрий Николаевич,04.12.1974,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,26,выдвинут,зарегистрирован,26.07.2016,20
916,Агафонов Александр Федорович,21.03.1959,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",30,выдвинут,зарегистрирован,29.07.2016,14/4
960,Гарифуллин Мансур Зайдуллович,14.04.1960,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",29,выдвинут,зарегистрирован,25.07.2016,29
1026,Миргалимов Хафиз Гаязович,14.08.1954,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",27,выдвинут,зарегистрирован,26.07.2016,11/30
1049,Пешков Виктор Петрович,28.10.1945,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",26,выдвинут,зарегистрирован,28.07.2016,23
1059,Прокофьев Артём Вячеславович,31.12.1983,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",31,выдвинут,зарегистрирован,28.07.2016,12/3
1135,Ягудин Альберт Ахметвагизович,11.04.1961,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",28,выдвинут,зарегистрирован,29.07.2016,12/2
1139,Алейников Валерий Вячеславович,09.07.1987,Политическая партия ЛДПР - Либерально-демократическая партия России,30,выдвинут,зарегистрирован,22.07.2016,12/1
1145,Артемьева Анна Владимировна,08.02.1984,Политическая партия ЛДПР - Либерально-демократическая партия России,28,выдвинут,зарегистрирован,27.07.2016,10/1
1150,Байрамов Рафаэль Рахматуллович,10.09.1983,Политическая партия ЛДПР - Либерально-демократическая партия России,29,выдвинут,зарегистрирован,18.07.2016,15
1180,Габдрахманов Марсель Маликович,15.10.1961,Политическая партия ЛДПР - Либерально-демократическая партия России,31,выдвинут,зарегистрирован,22.07.2016,11/2
1181,Габдуллин Ленар Айдарович,07.08.1987,Политическая партия ЛДПР - Либерально-демократическая партия России,26,выдвинут,зарегистрирован,21.07.2016,17
1241,Кудряшов Андрей Витальевич,22.11.1991,Политическая партия ЛДПР - Либерально-демократическая партия России,27,выдвинут,зарегистрирован,26.07.2016,11/28
1426,Лукин Андрей Михайлович,21.06.1974,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",28,выдвинут,зарегистрирован,29.07.2016,12/1
1436,Мингалимов Рузиль Галиевич,23.01.1985,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",29,выдвинут,зарегистрирован,25.07.2016,26
1443,Новиков Илья Вадимович,13.09.1973,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",26,выдвинут,зарегистрирован,26.07.2016,19
1471,Шамсутдинов Марсель Дикаянович,18.11.1962,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",27,выдвинут,зарегистрирован,26.07.2016,11/31
1660,Зинатуллин Руслан Мансурович,29.12.1978,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",31,выдвинут,зарегистрирован,28.07.2016,12/4
1694,Курбанов Марат Асгатович,06.05.1967,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",30,выдвинут,зарегистрирован,29.07.2016,14/3
1712,Муртазин Ирек Минзакиевич,05.04.1964,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",26,выдвинут,зарегистрирован,28.07.2016,22
1920,Абдулов Рамиль Эминович,01.01.1964,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,29,выдвинут,зарегистрирован,25.07.2016,24
1942,Бильгильдеева Рушания Габдулахатовна,09.01.1966,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,26,выдвинут,зарегистрирован,21.07.2016,16
1958,Вильданов Дамир Насырович,02.01.1954,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,28,выдвинут,зарегистрирован,27.07.2016,10/2
2047,Мингазов Закарий Ильясович,11.10.1957,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,30,выдвинут,зарегистрирован,29.07.2016,14/2
2085,Рамазанов Рустам Габтилфаритович,23.03.1981,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,27,выдвинут,зарегистрирован,26.07.2016,11/29
