ord,fio,bday,party,okrug,vidvinut,registr,data,num
26,Бузилов Валерий Викторович,26.09.1953,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",34,выдвинут,зарегистрирован,05.08.2016,171.3-5
64,Загребин Алексей Егорович,05.07.1972,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",33,выдвинут,зарегистрирован,03.08.2016,170.1-5
383,Чулкин Алексей Аркадьевич,25.11.1980,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",33,выдвинут,зарегистрирован,05.08.2016,171.1-5
625,Буторин Сергей Викторович,26.07.1980,"Политическая партия ""Гражданская Платформа""",33,выдвинут,зарегистрирован,09.08.2016,172.2-5
738,Дементьев Роман Вячеславович,04.07.1986,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,33,выдвинут,зарегистрирован,29.07.2016,167.1-5
812,Мишкин Юрий Алексеевич,30.01.1979,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,34,выдвинут,зарегистрирован,29.07.2016,167.2-5
936,Бодров Владимир Петрович,25.08.1957,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",34,выдвинут,зарегистрирован,25.07.2016,166.4-5
1123,Чепкасов Владимир Геннадьевич,12.06.1972,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",33,выдвинут,зарегистрирован,25.07.2016,166.3-5
1192,Гусев Антон Владимирович,13.04.1982,Политическая партия ЛДПР - Либерально-демократическая партия России,34,выдвинут,зарегистрирован,25.07.2016,166.2-5
1364,Ягафаров Тимур Фаатович,20.11.1984,Политическая партия ЛДПР - Либерально-демократическая партия России,33,выдвинут,зарегистрирован,25.07.2016,166.1-5
1404,Закиров Ильдар Шамилевич,28.08.1986,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",33,выдвинут,зарегистрирован,01.08.2016,168.1-5
1463,Тимуршин Руслан Рифгатович,01.04.1982,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",34,выдвинут,зарегистрирован,01.08.2016,168.2-5
1716,Назаров Михаил Геннадьевич,29.03.1973,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",34,выдвинут,зарегистрирован,05.08.2016,171.2-5
2138,Шудегов Виктор Евграфович,05.12.1952,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,33,выдвинут,зарегистрирован,02.08.2016,169.1-5
2142,Юнусов Фарид Анасович,09.11.1959,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,34,выдвинут,зарегистрирован,02.08.2016,169.2-5
2332,Овчинников Олег Викторович,06.04.1976,Самовыдвижение,34,выдвинут,отказ в регистрации,09.08.2016,172.1-5
