ord,fio,bday,party,okrug,vidvinut,registr,data,num
193,Черкесов Леонид Ильич,13.08.1966,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",38,выдвинут,зарегистрирован,05.08.2016,161/1278
257,Горбатин Михаил Анатольевич,18.05.1972,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",38,выдвинут,зарегистрирован,11.08.2016,163/1336
284,Капитонов Александр Петрович,27.01.1966,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",37,выдвинут,зарегистрирован,11.08.2016,163/1335
472,Михайлов Владимир Борисович,21.07.1987,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",37,выдвинут,зарегистрирован,01.08.2016,160/1263-V
505,Рылеева Нина Борисовна,23.01.1985,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",38,выдвинут,зарегистрирован,05.08.2016,161/1275
630,Голицын Александр Юрьевич,22.02.1988,"Политическая партия ""Гражданская Платформа""",38,выдвинут,зарегистрирован,29.07.2016,159/1253
669,Сорокин Дмитрий Сергеевич,10.10.1988,"Политическая партия ""Гражданская Платформа""",37,выдвинут,зарегистрирован,29.07.2016,159/1254
870,Трефилов Антон Вячеславович,16.08.1985,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,37,выдвинут,зарегистрирован,29.07.2016,159/1252
904,Шулятьев Сергей Валерьевич,03.09.1979,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,38,выдвинут,зарегистрирован,29.07.2016,159/1251
971,Данилов Григорий Владиславович,11.09.1978,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",37,выдвинут,зарегистрирован,29.07.2016,159/1256
1130,Шурчанов Валентин Сергеевич,19.01.1947,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",38,выдвинут,зарегистрирован,01.08.2016,160/1265-V
1155,Белобаев Сергей Александрович,10.11.1987,Политическая партия ЛДПР - Либерально-демократическая партия России,38,выдвинут,зарегистрирован,25.07.2016,156/1232-V
1309,Степанов Константин Олегович,29.12.1986,Политическая партия ЛДПР - Либерально-демократическая партия России,37,выдвинут,зарегистрирован,25.07.2016,156/1231-V
1430,Майоров Владимир Николаевич,11.05.1963,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",38,выдвинут,зарегистрирован,05.08.2016,161/1276
1456,Семенов Дмитрий Анатольевич,08.12.1989,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",37,выдвинут,зарегистрирован,29.07.2016,159/1255
1535,Кулагин Андрей Васильевич,17.01.1975,"Политическая партия ""ПАТРИОТЫ РОССИИ""",38,выдвинут,зарегистрирован,29.07.2016,159/1249
1552,Павлов Валерий Игнатьевич,04.01.1957,"Политическая партия ""ПАТРИОТЫ РОССИИ""",37,выдвинут,зарегистрирован,29.07.2016,159/1250
1616,Аркадьев Владислав Иванович,18.04.1957,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",38,выдвинут,зарегистрирован,05.08.2016,161/1279
1738,Сапрыкин Антон Владимирович,25.04.1985,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",37,выдвинут,зарегистрирован,05.08.2016,161/1277
1780,Николаев Олег Алексеевич,01.12.1953,"Политическая партия ""Российская экологическая партия ""Зеленые""",38,выдвинут,зарегистрирован,11.08.2016,163/1337
1781,Аксаков Александр Викторович,05.04.1983,"Политическая партия ""Российская экологическая партия ""Зеленые""",37,выдвинут,выбывший (после регистрации) кандидат,09.09.2016,171/1403
1918,Аксаков Анатолий Геннадьевич,28.11.1957,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,37,выдвинут,зарегистрирован,05.08.2016,161/1280
1919,Николаев Олег Алексеевич,10.12.1969,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,38,выдвинут,зарегистрирован,05.08.2016,161/1281
2143,Николаев Олег Алексеевич,24.11.1961,Самовыдвижение,38,выдвинут,зарегистрирован,13.08.2016,164/1351
2149,Аксаков Александр Иванович,22.04.1993,Самовыдвижение,37,утративший статус выдвинутого кандидата,,08.07.2016,147/1151-V
2150,Аксаков Анатолий Арсентьевич,17.02.1968,Самовыдвижение,37,выдвинут,отказ в регистрации,08.07.2016,148/1160-V
2248,Иванова Анастасия Павловна,03.02.1985,Самовыдвижение,38,выдвинут,отказ в регистрации,11.08.2016,163/1338
2291,Лапшин Алексей Юриевич,18.05.1977,Самовыдвижение,37,выдвинут,отказ в регистрации,11.08.2016,163/1339
2360,Прокопьева Ксения Николаевна,09.02.1975,Самовыдвижение,37,выдвинут,отказ в регистрации,11.08.2016,163/1340
2397,Сретенский Валентин Ростиславович,30.03.1950,Самовыдвижение,38,выдвинут,отказ в регистрации,11.08.2016,163/1341
