ord,fio,bday,party,okrug,vidvinut,registr,data,num
16,Бессарабов Даниил Владимирович,09.07.1976,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",39,выдвинут,зарегистрирован,04.08.2016,10/20-39
66,Зобнев Виктор Викторович,07.06.1964,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",40,выдвинут,зарегистрирован,01.08.2016,7/18-40
108,Лоор Иван Иванович,11.12.1955,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",42,выдвинут,зарегистрирован,04.08.2016,10/20-42
148,Прокопьев Александр Сергеевич,05.08.1986,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",41,выдвинут,зарегистрирован,04.08.2016,10/27-41
208,Барчук Эдуард Владимирович,31.10.1990,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",39,выдвинут,отказ в регистрации,12.08.2016,13/27-39
211,Гусельников Денис Алексеевич,27.06.1981,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",41,выдвинут,отказ в регистрации,12.08.2016,12/33-41
225,Половников Константин Викторович,28.10.1985,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",40,выдвинут,отказ в регистрации,12.08.2016,11/28-40
242,Богданов Юрий Дмитриевич,08.09.1957,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",42,выдвинут,зарегистрирован,04.08.2016,10/21-42
279,Зонов Александр Сергеевич,19.06.1983,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",40,выдвинут,зарегистрирован,02.08.2016,8/22-40
322,Михайлюк Владимир Владимирович,05.11.1962,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",41,выдвинут,зарегистрирован,08.08.2016,11/31-41
382,Чеснов Павел Алексеевич,13.12.1960,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",39,выдвинут,зарегистрирован,04.08.2016,10/21-39
478,Назаренко Николай Васильевич,28.03.1959,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",40,выдвинут,зарегистрирован,04.08.2016,9/24-40
529,Убраев Сергей Аманжолович,08.01.1963,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",41,выдвинут,зарегистрирован,04.08.2016,10/29-41
665,Резникова Татьяна Владимировна,20.03.1967,"Политическая партия ""Гражданская Платформа""",39,выдвинут,зарегистрирован,04.08.2016,10/22-39
701,Астафьева Татьяна Петровна,04.09.1951,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,41,выдвинут,зарегистрирован,04.08.2016,10/28-41
782,Колесников Егор Сергеевич,19.02.1995,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,39,выдвинут,отказ в регистрации,01.08.2016,8/17-39
790,Крамсков Антон Юрьевич,30.05.1995,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,40,выдвинут,зарегистрирован,01.08.2016,7/20-40
885,Фурсенко Иван Витальевич,24.12.1992,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,42,выдвинут,зарегистрирован,01.08.2016,8/17-42
1039,Останина Нина Александровна,26.12.1955,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",40,выдвинут,зарегистрирован,04.08.2016,9/25-40
1054,Понарин Петр Петрович,20.04.1953,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",42,выдвинут,зарегистрирован,02.08.2016,9/19-42
