ord,fio,bday,party,okrug,vidvinut,registr,data,num
19,Боева Наталья Дмитриевна,26.12.1951,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",53,выдвинут,зарегистрирован,28.07.2016,26/196
48,Демченко Иван Иванович,27.09.1960,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",48,выдвинут,зарегистрирован,01.08.2016,17/87
54,Евланов Владимир Лазаревич,03.08.1948,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",46,выдвинут,зарегистрирован,05.08.2016,194/2834-5
55,Езубов Алексей Петрович,10.02.1948,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",51,выдвинут,зарегистрирован,30.07.2016,18/102
65,Затулин Константин Федорович,07.09.1958,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",50,выдвинут,зарегистрирован,26.07.2016,22/141
105,Ламейкин Дмитрий Викторович,27.02.1977,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",47,выдвинут,зарегистрирован,29.07.2016,192/2797-5
163,Синяговский Владимир Ильич,09.08.1948,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",49,выдвинут,зарегистрирован,01.08.2016,24/145
240,Благодаров Александр Александрович,20.07.1973,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",52,выдвинут,зарегистрирован,01.08.2016,30/125
246,Ващенко Денис Юрьевич,11.09.1980,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",51,выдвинут,зарегистрирован,07.08.2016,23/112
288,Керимов Олег Юрьевич,03.03.1962,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",53,выдвинут,зарегистрирован,05.08.2016,30/217
292,Копачев Юрий Пантелеевич,05.05.1968,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",46,выдвинут,зарегистрирован,01.08.2016,193/2818-5
308,Лугин Олег Федорович,19.02.1959,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",48,выдвинут,зарегистрирован,05.08.2016,19/94
332,Новиков Александр Владимирович,25.11.1983,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",47,выдвинут,зарегистрирован,05.08.2016,194/2836-5
347,Прокопенко Олег Васильевич,22.02.1968,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",49,выдвинут,выбывший (после регистрации) кандидат,19.08.2016,32/193
388,Ярош Тарас Викторович,23.03.1973,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",50,выдвинут,зарегистрирован,05.08.2016,26/160
394,Бадюк Сергей Николаевич,03.07.1970,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",50,выдвинут,зарегистрирован,29.07.2016,23/154
432,Закипнев Сергей Сергеевич,06.04.1963,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",52,выдвинут,зарегистрирован,30.07.2016,29/122
434,Зверев Владимир Константинович,09.01.1957,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",53,выдвинут,зарегистрирован,30.07.2016,27/198
460,Линдблад Людмила Евгеньевна,08.03.1970,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",51,выдвинут,зарегистрирован,09.08.2016,24/113
468,Маняк Николай Иванович,16.05.1947,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",48,выдвинут,зарегистрирован,05.08.2016,19/93
489,Панасенко Денис Александрович,17.12.1982,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",47,выдвинут,зарегистрирован,29.07.2016,192/2798-5
498,Погорелова Наталья Степановна,21.10.1962,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",46,выдвинут,зарегистрирован,29.07.2016,192/2799-5
552,Штуркин Владимир Николаевич,27.08.1973,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",49,выдвинут,зарегистрирован,02.08.2016,25/147
581,Соболев Юрий Алексеевич,16.03.1987,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",53,утративший статус выдвинутого кандидата,,04.08.2016,29/216
585,Айрапетян Арам Артурович,04.10.1985,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",49,выдвинут,выбывший (после регистрации) кандидат,16.08.2016,31/180
635,Захарычев Георгий Валерьевич,07.05.1965,"Политическая партия ""Гражданская Платформа""",47,выдвинут,зарегистрирован,29.07.2016,192/2796-5
695,Абрамян Михаил Рудольфович,13.01.1985,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,46,выдвинут,зарегистрирован,22.07.2016,190/2752-5
735,Гусейнова Виктория Сергеевна,09.05.1991,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,52,выдвинут,зарегистрирован,28.07.2016,27/108
755,Заруба Ольга Александровна,10.08.1990,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,49,выдвинут,зарегистрирован,25.07.2016,20/124
776,Кетов Сергей Геннадьевич,10.02.1960,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,48,выдвинут,зарегистрирован,30.07.2016,16/84
874,Туренко Александр Анатольевич,11.04.1960,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,53,выдвинут,зарегистрирован,26.07.2016,24/191
886,Халин Илья Сергеевич,22.09.1991,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,51,выдвинут,зарегистрирован,29.07.2016,17/99
888,Хасанов Антон Рафаилович,23.08.1986,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,50,выдвинут,зарегистрирован,26.07.2016,22/139
909,Янкин Юрий Андреевич,01.11.1986,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,47,выдвинут,зарегистрирован,22.07.2016,190/2754-5
945,Васильев Игорь Васильевич,08.05.1957,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",50,выдвинут,зарегистрирован,26.07.2016,22/140
1003,Коломиец Дмитрий Викторович,19.01.1979,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",48,выдвинут,зарегистрирован,30.07.2016,16/83
1021,Лузинов Сергей Константинович,08.02.1971,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",47,выдвинут,зарегистрирован,27.07.2016,191/2786-5
1031,Нагнибеда Александр Иванович,13.03.1960,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",51,выдвинут,зарегистрирован,01.08.2016,20/106
1036,Обухов Сергей Павлович,05.10.1958,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",46,выдвинут,зарегистрирован,01.08.2016,193/2816-5
1091,Соколенко Павел Васильевич,14.03.1976,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",53,выдвинут,зарегистрирован,27.07.2016,25/193
1108,Тренин Алексей Николаевич,25.01.1976,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",49,выдвинут,зарегистрирован,30.07.2016,23/143
