ord,fio,bday,party,okrug,vidvinut,registr,data,num
67,Зубарев Виктор Владиславович,20.02.1961,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",56,выдвинут,зарегистрирован,29.07.2016,15/25
86,Кармазина Раиса Васильевна,09.01.1951,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",57,выдвинут,зарегистрирован,29.07.2016,12/20
144,Пимашков Петр Иванович,02.07.1948,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",55,выдвинут,зарегистрирован,01.08.2016,16/28
198,Швыткин Юрий Николаевич,24.05.1965,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",54,выдвинут,зарегистрирован,30.07.2016,15/24
416,Горностаев Александр Сергеевич,19.05.1969,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",54,выдвинут,зарегистрирован,01.08.2016,16/27
427,Дьяков Александр Александрович,05.03.1962,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",57,выдвинут,зарегистрирован,29.07.2016,12/19
504,Ромашечкина Ирина Васильевна,19.06.1984,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",56,выдвинут,выбывший (после регистрации) кандидат,09.09.2016,22/37
531,Урдаев Анатолий Юрьевич,17.05.1955,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",55,выдвинут,зарегистрирован,30.07.2016,15/26
651,Лановая Ольга Викторовна,05.05.1968,"Политическая партия ""Гражданская Платформа""",57,выдвинут,зарегистрирован,03.08.2016,14/23
674,Ульянова Валентина Петровна,06.05.1957,"Политическая партия ""Гражданская Платформа""",56,выдвинут,зарегистрирован,03.08.2016,17/30
732,Гуров Антон Владимирович,03.04.1973,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,55,выдвинут,зарегистрирован,28.07.2016,13/23
762,Иванова Ирина Геннадьевна,16.02.1978,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,56,выдвинут,зарегистрирован,05.08.2016,18/31
823,Осипова Татьяна Юрьевна,05.08.1964,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,54,выдвинут,зарегистрирован,28.07.2016,13/21
858,Селезнев Андрей Валерьевич,19.12.1977,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,57,выдвинут,зарегистрирован,28.07.2016,11/18
