ord,fio,bday,party,okrug,vidvinut,registr,data,num
22,Бондаренко Елена Вениаминовна,10.06.1968,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",68,выдвинут,зарегистрирован,27.07.2016,210/2165-5
75,Ищенко Александр Николаевич,09.07.1959,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",66,выдвинут,зарегистрирован,27.07.2016,210/2154-5
79,Казакова Ольга Михайловна,30.05.1968,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",67,выдвинут,зарегистрирован,27.07.2016,210/2163-5
104,Кузьмин Михаил Владимирович,05.08.1955,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",65,выдвинут,зарегистрирован,29.07.2016,211/2185-5
339,Петлицын Андрей Викторович,26.01.1977,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",67,выдвинут,зарегистрирован,22.07.2016,207/2121-5
355,Сасин Николай Иванович,19.03.1969,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",65,выдвинут,зарегистрирован,24.07.2016,209/2148-5
361,Слинько Денис Иванович,23.09.1978,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",68,выдвинут,зарегистрирован,27.07.2016,210/2159-5
363,Смирнов Владимир Николаевич,27.06.1952,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",66,выдвинут,зарегистрирован,27.07.2016,210/2164-5
475,Мохов Евгений Александрович,28.05.1968,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",65,выдвинут,зарегистрирован,27.07.2016,210/2158-5
477,Назаренко Владимир Александрович,11.01.1952,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",66,выдвинут,зарегистрирован,27.07.2016,210/2157-5
512,Середенко Михаил Иванович,14.10.1959,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",68,выдвинут,зарегистрирован,27.07.2016,210/2155-5
513,Серков Михаил Иванович,05.10.1970,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",67,выдвинут,зарегистрирован,27.07.2016,210/2156-5
576,Омельченко Марина Владимировна,24.05.1974,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",65,утративший статус выдвинутого кандидата,,02.08.2016,213/2208-5
783,Колесников Иван Александрович,30.10.1989,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,66,выдвинут,зарегистрирован,29.07.2016,211/2180-5
806,Маршанкулов Марат Муратбиевич,15.02.1984,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,67,выдвинут,зарегистрирован,29.07.2016,211/2181-5
845,Рукосуев Юрий Викторович,27.12.1983,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,65,выдвинут,зарегистрирован,29.07.2016,211/2179-5
895,Чикатуева Алина Зурабовна,15.11.1991,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,68,выдвинут,зарегистрирован,29.07.2016,211/2182-5
965,Гончаров Виктор Иванович,14.06.1959,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",66,выдвинут,зарегистрирован,23.07.2016,208/2140-5
1019,Лозовой Виктор Иванович,29.08.1960,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",68,выдвинут,зарегистрирован,22.07.2016,207/2124-5
1088,Смоляков Валерий Анатольевич,24.03.1961,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",67,выдвинут,зарегистрирован,27.07.2016,210/2153-5
1089,Соболев Виктор Иванович,23.02.1950,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",65,выдвинут,зарегистрирован,23.07.2016,208/2138-5
1202,Дроздов Илья Юрьевич,11.08.1972,Политическая партия ЛДПР - Либерально-демократическая партия России,66,выдвинут,зарегистрирован,14.07.2016,200/2057-5
1203,Дроздова Ольга Павловна,03.08.1980,Политическая партия ЛДПР - Либерально-демократическая партия России,65,выдвинут,зарегистрирован,13.07.2016,199/2046-5
1316,Сысоев Александр Михайлович,21.04.1958,Политическая партия ЛДПР - Либерально-демократическая партия России,67,выдвинут,зарегистрирован,13.07.2016,199/2047-5
1351,Черногоров Александр Леонидович,13.07.1959,Политическая партия ЛДПР - Либерально-демократическая партия России,68,выдвинут,зарегистрирован,13.07.2016,199/2048-5
1422,Лебедев Павел Валерьевич,12.04.1975,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",65,выдвинут,зарегистрирован,01.08.2016,212/2197-5
1490,Большов Георгий Эрикович,12.02.1994,"Политическая партия ""ПАТРИОТЫ РОССИИ""",66,выдвинут,зарегистрирован,27.07.2016,210/2162-5
1536,Кулагин Сергей Сергеевич,17.06.1992,"Политическая партия ""ПАТРИОТЫ РОССИИ""",65,выдвинут,зарегистрирован,27.07.2016,210/2160-5
1695,Курсиш Алексей Валентинович,20.09.1960,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",67,выдвинут,зарегистрирован,29.07.2016,211/2184-5
1698,Ледовской Валерий Иванович,27.12.1979,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",66,выдвинут,зарегистрирован,24.07.2016,209/2147-5
1702,Ляшенко Николай Андреевич,04.04.1950,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",68,выдвинут,зарегистрирован,27.07.2016,210/2152-5
1782,Авдеев Василий Геннадьевич,24.08.1964,"Политическая партия ""Российская экологическая партия ""Зеленые""",65,выдвинут,зарегистрирован,22.07.2016,207/2122-5
1817,Дзасохов Георгий Георгиевич,02.11.1971,"Политическая партия ""Российская экологическая партия ""Зеленые""",68,выдвинут,зарегистрирован,23.07.2016,208/2141-5
1833,Ильинов Виктор Владимирович,27.08.1962,"Политическая партия ""Российская экологическая партия ""Зеленые""",66,выдвинут,зарегистрирован,29.07.2016,211/2183-5
1860,Никитин Евгений Николаевич,31.12.1951,"Политическая партия ""Российская экологическая партия ""Зеленые""",67,выдвинут,зарегистрирован,23.07.2016,208/2139-5
1944,Болховитин Евгений Васильевич,27.09.1946,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,68,выдвинут,зарегистрирован,01.08.2016,212/2198-5
1968,Горло Сергей Алексеевич,14.03.1969,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,66,выдвинут,зарегистрирован,22.07.2016,207/2123-5
2020,Кузьмин Александр Сергеевич,22.11.1961,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,65,выдвинут,зарегистрирован,22.07.2016,207/2125-5
2021,Кузьмин Кирилл Александрович,29.01.1986,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,67,выдвинут,зарегистрирован,27.07.2016,210/2161-5
2295,Ликкей Елена Николаевна,19.07.1961,Самовыдвижение,67,утративший статус выдвинутого кандидата,,06.08.2016,214/2217-5
