ord,fio,bday,party,okrug,vidvinut,registr,data,num
137,Палкин Андрей Васильевич,03.03.1958,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",73,выдвинут,зарегистрирован,27.07.2016,216/1329-5
206,Юрков Дмитрий Васильевич,05.05.1972,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",72,выдвинут,зарегистрирован,27.07.2016,216/1327-5
217,Кудрин Максим Юрьевич,08.09.1974,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",73,выдвинут,отказ в регистрации,13.08.2016,221/1365-5
224,Падорин Игорь Борисович,09.12.1959,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",72,выдвинут,отказ в регистрации,13.08.2016,221/1366-5
421,Гурьев Алексей Николаевич,05.10.1970,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",73,выдвинут,зарегистрирован,04.08.2016,218/1341-5
514,Силантьев Михаил Сергеевич,08.02.1972,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",72,выдвинут,зарегистрирован,04.08.2016,218/1340-5
846,Русаков Юрий Михайлович,25.07.1980,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,72,выдвинут,зарегистрирован,27.07.2016,216/1323-5
883,Федулов Роман Петрович,14.03.1989,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,73,выдвинут,зарегистрирован,27.07.2016,216/1324-5
1034,Новиков Александр Владимирович,28.10.1949,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",72,выдвинут,зарегистрирован,27.07.2016,216/1322-5
1040,Павлов Василий Нестерович,06.01.1964,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",73,выдвинут,зарегистрирован,27.07.2016,216/1321-5
1144,Арсентьев Игорь Валентинович,30.03.1985,Политическая партия ЛДПР - Либерально-демократическая партия России,73,выдвинут,зарегистрирован,20.07.2016,212/1289-5
1281,Пивков Сергей Анатольевич,24.08.1984,Политическая партия ЛДПР - Либерально-демократическая партия России,72,выдвинут,зарегистрирован,20.07.2016,212/1290-5
1386,Буторин Михаил Вениаминович,11.12.1951,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",72,выдвинут,зарегистрирован,27.07.2016,216/1328-5
1507,Ерыкалов Вячеслав Борисович,27.01.1964,"Политическая партия ""ПАТРИОТЫ РОССИИ""",72,выдвинут,зарегистрирован,04.08.2016,218/1339-5
1508,Жадченко Андрей Анатольевич,11.04.1976,"Политическая партия ""ПАТРИОТЫ РОССИИ""",73,выдвинут,зарегистрирован,27.07.2016,216/1326-5
1769,Чесноков Юрий Евгеньевич,17.07.1966,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",73,выдвинут,зарегистрирован,04.08.2016,218/1338-5
1770,Чураков Андрей Анатольевич,26.06.1961,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",72,выдвинут,зарегистрирован,27.07.2016,216/1325-5
1985,Епифанова Ольга Николаевна,19.08.1966,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,72,выдвинут,зарегистрирован,20.07.2016,212/1291-5
2131,Чиркова Ирина Александровна,06.03.1982,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,73,выдвинут,зарегистрирован,20.07.2016,212/1292-5
2255,Калиничев Дмитрий Александрович,11.05.1968,Самовыдвижение,72,выдвинут,отказ в регистрации,04.08.2016,218/1343-5
2297,Ломова Елена Станиславовна,03.05.1966,Самовыдвижение,73,выдвинут,отказ в регистрации,04.08.2016,218/1342-5
