ord,fio,bday,party,okrug,vidvinut,registr,data,num
20,Боженов Сергей Андреевич,15.09.1957,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",75,выдвинут,зарегистрирован,28.07.2016,210/1509
166,Скоч Андрей Владимирович,30.01.1966,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",76,выдвинут,зарегистрирован,26.07.2016,209/1501
511,Свищёв Андрей Викторович,15.07.1971,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",75,выдвинут,зарегистрирован,03.08.2016,212/1528
515,Соболев Александр Геннадиевич,01.09.1969,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",76,выдвинут,зарегистрирован,03.08.2016,212/1527
655,Майсак Андрей Иванович,09.09.1981,"Политическая партия ""Гражданская Платформа""",76,выдвинут,зарегистрирован,28.07.2016,210/1508
683,Чернышова Наталия Александровна,11.03.1972,"Политическая партия ""Гражданская Платформа""",75,выдвинут,зарегистрирован,28.07.2016,210/1507
882,Федорченко Дмитрий Евгеньевич,13.09.1982,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,76,выдвинут,зарегистрирован,29.07.2016,211/1523
889,Хорошилов Руслан Николаевич,24.03.1980,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,75,выдвинут,зарегистрирован,29.07.2016,211/1522
1043,Панов Станислав Геннадьевич,03.08.1972,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",76,выдвинут,зарегистрирован,29.07.2016,211/1520
1129,Шевляков Валерий Алексеевич,30.01.1955,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",75,выдвинут,зарегистрирован,29.07.2016,211/1519
1233,Климашевский Константин Александрович,28.06.1987,Политическая партия ЛДПР - Либерально-демократическая партия России,76,выдвинут,зарегистрирован,26.07.2016,209/1500
1308,Старовойтов Александр Сергеевич,28.01.1972,Политическая партия ЛДПР - Либерально-демократическая партия России,75,выдвинут,зарегистрирован,28.07.2016,210/1510
1876,Порхун Вера Семёновна,20.09.1955,"Политическая партия ""Российская экологическая партия ""Зеленые""",75,выдвинут,зарегистрирован,29.07.2016,211/1521
1945,Бочарников Сергей Иванович,24.05.1988,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,76,выдвинут,зарегистрирован,26.07.2016,209/1503
2097,Селиванов Юрий Алексеевич,28.06.1940,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,75,выдвинут,зарегистрирован,26.07.2016,209/1502
2186,Борисовский Валерий Викторович,07.02.1968,Самовыдвижение,76,выдвинут,зарегистрирован,08.08.2016,213/1535
2225,Дроздов Андрей Евгеньевич,07.09.1987,Самовыдвижение,76,утративший статус выдвинутого кандидата,,08.08.2016,прот. 1
2256,Каплий Леонид Сергеевич,06.11.1972,Самовыдвижение,75,утративший статус выдвинутого кандидата,,08.08.2016,прот.2
