ord,fio,bday,party,okrug,vidvinut,registr,data,num
61,Жутенков Владимир Александрович,02.04.1962,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",77,выдвинут,зарегистрирован,02.08.2016,233/2026-5
120,Миронова Валентина Михайловна,06.02.1966,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",78,выдвинут,зарегистрирован,02.08.2016,233/2023-5
259,Горелов Сергей Иванович,05.09.1961,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",78,выдвинут,зарегистрирован,01.08.2016,232/2014-5
307,Лелебин Михаил Олегович,29.05.1975,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",77,выдвинут,зарегистрирован,05.08.2016,234/2032-5
461,Лобзин Роман Валентинович,24.03.1969,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",77,выдвинут,зарегистрирован,02.08.2016,233/2027-5
469,Медведь Иван Владимирович,20.05.1965,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",78,выдвинут,зарегистрирован,02.08.2016,233/2020-5
607,Суворов Артем Павлович,16.08.1989,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",77,выдвинут,зарегистрирован,05.08.2016,234/2031-5
647,Корнилов Дмитрий Юрьевич,19.04.1976,"Политическая партия ""Гражданская Платформа""",77,выдвинут,зарегистрирован,30.07.2016,231/2009-5
881,Федин Петр Борисович,03.01.1963,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,78,выдвинут,зарегистрирован,02.08.2016,233/2025-5
899,Шанина Елена Владимировна,05.10.1959,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,77,выдвинут,зарегистрирован,02.08.2016,233/2024-5
927,Архицкий Андрей Георгиевич,01.01.1968,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",78,выдвинут,зарегистрирован,29.07.2016,230/1997-5
1041,Павлов Константин Леонидович,18.12.1982,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",77,выдвинут,зарегистрирован,27.07.2016,229/1995-5
1175,Винокуров Дмитрий Васильевич,03.06.1975,Политическая партия ЛДПР - Либерально-демократическая партия России,77,выдвинут,зарегистрирован,01.08.2016,232/2012-5
1230,Киселёв Виктор Николаевич,30.04.1949,Политическая партия ЛДПР - Либерально-демократическая партия России,78,выдвинут,зарегистрирован,26.07.2016,228/1991-5
1479,Алхимов Алексей Юрьевич,30.09.1975,"Политическая партия ""ПАТРИОТЫ РОССИИ""",77,выдвинут,зарегистрирован,30.07.2016,231/2010-5
1518,Каничев Вадим Александрович,17.04.1977,"Политическая партия ""ПАТРИОТЫ РОССИИ""",78,выдвинут,зарегистрирован,01.08.2016,232/2013-5
1624,Богомаз Александр Иванович,26.06.1949,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",77,выдвинут,зарегистрирован,02.08.2016,233/2021-5
1705,Махотина Ольга Анатольевна,26.10.1976,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",78,выдвинут,зарегистрирован,02.08.2016,233/2022-5
2046,Медведков Александр Александрович,22.09.1971,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,78,выдвинут,зарегистрирован,29.07.2016,230/1996-5
2126,Храмченков Валерий Григорьевич,16.09.1960,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,77,выдвинут,зарегистрирован,30.07.2016,231/2008-5
