ord,fio,bday,party,okrug,vidvinut,registr,data,num
82,Каньков Олег Гиниятуллович,07.08.1963,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",93,выдвинут,зарегистрирован,28.07.2016,119/1366
100,Красноштанов Алексей Николаевич,10.06.1963,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",94,выдвинут,зарегистрирован,29.07.2016,19/112
177,Тен Сергей Юрьевич,25.08.1976,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",95,выдвинут,зарегистрирован,03.08.2016,121/1390
194,Чернышев Андрей Владимирович,10.07.1970,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",96,выдвинут,зарегистрирован,21.07.2016,24/172
261,Грачёв Иван Дмитриевич,19.02.1952,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",95,выдвинут,зарегистрирован,03.08.2016,121/1391
281,Ильин Александр Евгеньевич,03.12.1988,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",93,выдвинут,зарегистрирован,28.07.2016,119/1372
304,Кучменко Денис Александрович,11.01.1980,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",96,выдвинут,зарегистрирован,29.07.2016,27/191
428,Евдокимов Максим Владимирович,11.07.1974,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",93,выдвинут,зарегистрирован,28.07.2016,119/1370
487,Очкас Николай Николаевич,24.03.1965,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",96,выдвинут,зарегистрирован,29.07.2016,27/189
526,Торопов Михаил Михайлович,28.11.1971,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",94,выдвинут,зарегистрирован,02.08.2016,20/124
546,Чумак Николай Петрович,19.10.1956,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",95,выдвинут,зарегистрирован,28.07.2016,119/1371
595,Ковалева Олеся Александровна,19.05.1993,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",94,выдвинут,зарегистрирован,02.08.2016,20/125
601,Костюков Николай Игоревич,06.02.1985,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",95,выдвинут,зарегистрирован,03.08.2016,121/1393
624,Беликов Дмитрий Валерьевич,09.11.1970,"Политическая партия ""Гражданская Платформа""",96,выдвинут,зарегистрирован,29.07.2016,27/186
636,Игнатьев Николай Иосифович,30.01.1956,"Политическая партия ""Гражданская Платформа""",95,выдвинут,зарегистрирован,29.07.2016,120/1381
640,Каньков Юрий Григорьевич,01.08.1970,"Политическая партия ""Гражданская Платформа""",93,выдвинут,зарегистрирован,28.07.2016,119/1369
678,Харун Татьяна Юрьевна,27.06.1985,"Политическая партия ""Гражданская Платформа""",94,выдвинут,зарегистрирован,02.08.2016,20/123
759,Зенов Дмитрий Викторович,02.07.1987,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,94,выдвинут,зарегистрирован,24.07.2016,17/98
771,Карнаухов Леонид Николаевич,29.04.1953,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,95,выдвинут,зарегистрирован,29.07.2016,120/1383
774,Катасонов Олег Вячеславович,12.07.1986,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,96,выдвинут,зарегистрирован,21.07.2016,24/170
891,Хугаев Чермен Вазноевич,19.02.1988,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,93,выдвинут,выбывший (после регистрации) кандидат,10.09.2016,130/1459
923,Андреев Андрей Анатольевич,24.05.1976,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",96,выдвинут,зарегистрирован,29.07.2016,27/190
939,Бренюк Сергей Алексеевич,18.10.1954,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",94,выдвинут,зарегистрирован,29.07.2016,19/114
1066,Романов Антон Васильевич,23.10.1952,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",95,выдвинут,зарегистрирован,05.08.2016,122/1401
1132,Щапов Михаил Викторович,20.09.1975,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",93,выдвинут,зарегистрирован,05.08.2016,122/1402
1183,Галицков Виктор Владимирович,05.06.1980,Политическая партия ЛДПР - Либерально-демократическая партия России,93,выдвинут,зарегистрирован,28.07.2016,119/1367
1206,Ершов Дмитрий Михайлович,19.02.1975,Политическая партия ЛДПР - Либерально-демократическая партия России,95,выдвинут,зарегистрирован,28.07.2016,119/1368
1242,Кузнецов Олег Николаевич,15.09.1968,Политическая партия ЛДПР - Либерально-демократическая партия России,94,выдвинут,зарегистрирован,26.07.2016,18/102
1253,Любенков Георгий Александрович,09.10.1961,Политическая партия ЛДПР - Либерально-демократическая партия России,96,выдвинут,зарегистрирован,21.07.2016,24/169
