ord,fio,bday,party,okrug,vidvinut,registr,data,num
150,Пятикоп Александр Иванович,14.12.1962,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",97,выдвинут,зарегистрирован,30.07.2016,18/219-7
162,Силанов Алексей Николаевич,15.04.1961,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",98,выдвинут,зарегистрирован,30.07.2016,18/215-7
254,Гинзбург Соломон Израилевич,25.09.1959,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",98,выдвинут,зарегистрирован,30.07.2016,18/213-7
345,Потапенко Дмитрий Валерьевич,30.03.1970,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",97,выдвинут,зарегистрирован,27.07.2016,16/196-7
411,Галанин Юрий Петрович,20.10.1951,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",98,выдвинут,зарегистрирован,27.07.2016,16/197-7
480,Новик Дмитрий Александрович,02.04.1984,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",97,выдвинут,зарегистрирован,27.07.2016,16/195-7
657,Маликов Сергей Алексеевич,24.09.1967,"Политическая партия ""Гражданская Платформа""",98,выдвинут,зарегистрирован,30.07.2016,18/221-7
822,Орлов Александр Сергеевич,15.03.1979,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,97,выдвинут,зарегистрирован,30.07.2016,18/217-7
824,Павленко Максим Владимирович,10.07.1983,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,98,выдвинут,зарегистрирован,30.07.2016,18/214-7
1050,Плешков Игорь Владимирович,10.04.1970,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",98,выдвинут,зарегистрирован,30.07.2016,18/212-7
1063,Ревин Игорь Алексеевич,05.02.1959,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",97,выдвинут,зарегистрирован,20.07.2016,12/144-7
1142,Анисимов Егор Игоревич,31.08.1987,Политическая партия ЛДПР - Либерально-демократическая партия России,97,выдвинут,зарегистрирован,20.07.2016,12/143-7
1265,Мишин Евгений Викторович,04.06.1984,Политическая партия ЛДПР - Либерально-демократическая партия России,98,выдвинут,зарегистрирован,20.07.2016,12/145-7
1602,Чесалин Михаил Юрьевич,31.01.1963,"Политическая партия ""ПАТРИОТЫ РОССИИ""",97,выдвинут,зарегистрирован,27.07.2016,16/199-7
1808,Гончаров Виталий Анатольевич,06.08.1962,"Политическая партия ""Российская экологическая партия ""Зеленые""",97,выдвинут,зарегистрирован,27.07.2016,16/198-7
1875,Поплавская Людмила Георгиевна,05.08.1979,"Политическая партия ""Российская экологическая партия ""Зеленые""",98,выдвинут,зарегистрирован,30.07.2016,18/220-7
2045,Масянова Наталья Николаевна,07.10.1973,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,97,выдвинут,зарегистрирован,30.07.2016,18/216-7
2120,Федоров Павел Николаевич,07.08.1952,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,98,выдвинут,зарегистрирован,30.07.2016,18/218-7
2219,Даки Юрий Николаевич,14.02.1964,Самовыдвижение,98,выдвинут,отказ в регистрации,11.08.2016,24/271-7
2233,Жевага Наталья Александровна,09.05.1979,Самовыдвижение,97,утративший статус выдвинутого кандидата,,05.08.2016,22/245-7
