ord,fio,bday,party,okrug,vidvinut,registr,data,num
2,Авдеев Александр Александрович,12.08.1975,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",99,выдвинут,зарегистрирован,09.08.2016,1363/195-V
165,Скляр Геннадий Иванович,17.05.1952,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",100,выдвинут,зарегистрирован,09.08.2016,1366/195-V
333,Овчинкин Николай Николаевич,01.12.1982,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",100,выдвинут,отказ в регистрации,09.08.2016,1369/195-V
545,Чернов Александр Ефимович,20.02.1954,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",99,выдвинут,зарегистрирован,09.08.2016,1365/195-V
603,Локтистов Василий Сергеевич,06.04.1989,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",100,выдвинут,отказ в регистрации,09.08.2016,1368/195-V
742,Дондо Сергей Анатольевич,10.02.1969,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,100,выдвинут,зарегистрирован,01.08.2016,1343/193-V
866,Тарасенко Антон Геннадьевич,30.12.1983,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,99,выдвинут,зарегистрирован,01.08.2016,1342/193-V
1008,Костина Марина Васильевна,08.01.1969,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",100,выдвинут,зарегистрирован,01.08.2016,1346/193-V
1137,Яшкин Николай Иванович,01.01.1960,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",99,выдвинут,зарегистрирован,05.08.2016,1350/194-V
1195,Деньгин Вадим Евгеньевич,23.09.1980,Политическая партия ЛДПР - Либерально-демократическая партия России,100,выдвинут,зарегистрирован,05.08.2016,1351/194-V
1327,Тришина Марина Александровна,03.08.1971,Политическая партия ЛДПР - Либерально-демократическая партия России,99,выдвинут,зарегистрирован,26.07.2016,1339/191-V
1487,Беккер Андрей Владимирович,02.03.1982,"Политическая партия ""ПАТРИОТЫ РОССИИ""",99,выдвинут,зарегистрирован,05.08.2016,1353/194-V
1495,Васильев Антон Викторович,04.05.1976,"Политическая партия ""ПАТРИОТЫ РОССИИ""",100,выдвинут,зарегистрирован,09.08.2016,1367/195-V
1680,Колесников Алексей Николаевич,03.11.1972,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",99,выдвинут,зарегистрирован,05.08.2016,1352/194-V
1719,Овсянников Олег Борисович,04.11.1966,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",100,выдвинут,зарегистрирован,09.08.2016,1364/195-V
1987,Ефремова Надежда Игоревна,15.10.1984,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,99,выдвинут,зарегистрирован,01.08.2016,1344/193-V
2115,Трушков Александр Витальевич,29.12.1971,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,100,выдвинут,зарегистрирован,01.08.2016,1345/193-V
2212,Горбатин Вячеслав Александрович,15.05.1948,Самовыдвижение,99,утративший статус выдвинутого кандидата,,05.08.2016,1354/194-V
2372,Решетников Антон Евгеньевич,18.05.1986,Самовыдвижение,100,утративший статус выдвинутого кандидата,,01.08.2016,1347/193-V
