ord,fio,bday,party,okrug,vidvinut,registr,data,num
4,Алексеева Татьяна Олеговна,16.12.1962,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",101,выдвинут,зарегистрирован,29.07.2016,13
74,Исламов Дмитрий Викторович,05.12.1977,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",102,выдвинут,зарегистрирован,29.07.2016,14
111,Максимов Александр Александрович,15.11.1946,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",104,выдвинут,зарегистрирован,29.07.2016,15
185,Федяев Павел Михайлович,31.07.1982,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",103,выдвинут,зарегистрирован,29.07.2016,15
274,Ермаков Евгений Анатольевич,26.09.1977,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",104,выдвинут,зарегистрирован,04.08.2016,18
713,Бондарева Ольга Александровна,20.03.1963,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,102,выдвинут,зарегистрирован,04.08.2016,16
749,Ерёмкин Афанасий Иванович,07.09.1947,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,104,выдвинут,зарегистрирован,29.07.2016,16
839,Потапов Петр Николаевич,14.07.1954,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,101,выдвинут,зарегистрирован,21.07.2016,8
879,Усольцева Ирина Сергеевна,04.10.1994,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,103,выдвинут,зарегистрирован,29.07.2016,13
925,Антонов Георгий Антонович,20.10.1955,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",101,выдвинут,зарегистрирован,21.07.2016,7
942,Бураков Леонид Васильевич,08.02.1953,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",104,выдвинут,зарегистрирован,04.08.2016,17
948,Витковский Юрий Николаевич,16.09.1957,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",103,выдвинут,зарегистрирован,21.07.2016,7
995,Карпов Владимир Ильич,15.12.1950,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",102,выдвинут,зарегистрирован,29.07.2016,13
1224,Карпов Станислав Артурович,23.03.1991,Политическая партия ЛДПР - Либерально-демократическая партия России,104,выдвинут,зарегистрирован,21.07.2016,6
1231,Клейстер Роман Юрьевич,02.07.1983,Политическая партия ЛДПР - Либерально-демократическая партия России,101,выдвинут,зарегистрирован,21.07.2016,6
1278,Паршуков Максим Викторович,19.09.1981,Политическая партия ЛДПР - Либерально-демократическая партия России,102,выдвинут,зарегистрирован,21.07.2016,4
1330,Украинцев Игорь Сергеевич,04.02.1986,Политическая партия ЛДПР - Либерально-демократическая партия России,103,выдвинут,зарегистрирован,21.07.2016,6
1486,Бардокин Ростислав Евгеньевич,08.09.1970,"Политическая партия ""ПАТРИОТЫ РОССИИ""",104,выдвинут,зарегистрирован,04.08.2016,19
1614,Альшевич Глеб Сергеевич,08.06.1983,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",103,выдвинут,зарегистрирован,29.07.2016,12
1665,Ильин Виталий Валерьевич,29.12.1973,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",102,выдвинут,зарегистрирован,29.07.2016,15
1988,Зайцев Александр Вячеславович,27.04.1982,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,104,выдвинут,зарегистрирован,29.07.2016,14
2052,Мишенин Евгений Николаевич,13.07.1958,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,103,выдвинут,зарегистрирован,29.07.2016,14
2090,Рыжак Николай Иванович,05.07.1945,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,102,выдвинут,зарегистрирован,24.07.2016,11
2092,Рябинюк Людмила Владимировна,14.07.1957,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,101,выдвинут,зарегистрирован,24.07.2016,12
2391,Смирнов Виктор Олегович,18.01.1967,Самовыдвижение,104,выдвинут,отказ в регистрации,11.08.2016,23
