ord,fio,bday,party,okrug,vidvinut,registr,data,num
164,Ситников Алексей Владимирович,19.06.1971,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",107,выдвинут,зарегистрирован,04.08.2016,32
344,Постников Алексей Максимович,14.12.1988,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",107,выдвинут,зарегистрирован,04.08.2016,34
527,Трепов Евгений Александрович,01.03.1970,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",107,выдвинут,зарегистрирован,07.08.2016,35
849,Сабельников Владимир Анатольевич,26.02.1949,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,107,выдвинут,зарегистрирован,29.07.2016,24
989,Ижицкий Валерий Петрович,17.09.1951,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",107,выдвинут,зарегистрирован,29.07.2016,26
1337,Федоров Руслан Владимирович,21.09.1989,Политическая партия ЛДПР - Либерально-демократическая партия России,107,выдвинут,зарегистрирован,21.07.2016,10
1709,Михайлов Владимир Викторович,20.12.1964,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",107,выдвинут,зарегистрирован,29.07.2016,25
1790,Баканов Александр Николаевич,05.06.1960,"Политическая партия ""Российская экологическая партия ""Зеленые""",107,выдвинут,зарегистрирован,04.08.2016,33
2072,Плюснин Александр Николаевич,13.08.1973,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,107,выдвинут,зарегистрирован,24.07.2016,21
2194,Ванчугов Роман Анатольевич,28.02.1972,Самовыдвижение,107,выдвинут,отказ в регистрации,13.08.2016,41
2339,Пакин Николай Александрович,04.07.1958,Самовыдвижение,107,выдвинут,отказ в регистрации,12.08.2016,40
2434,Шартон Ирина Викторовна,07.06.1964,Самовыдвижение,107,выдвинут,отказ в регистрации,12.08.2016,38
2438,Шелепова Надежда Александровна,30.09.1976,Самовыдвижение,107,выдвинут,отказ в регистрации,12.08.2016,39
