ord,fio,bday,party,okrug,vidvinut,registr,data,num
35,Воронина Татьяна Евгеньевна,04.01.1962,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",109,выдвинут,зарегистрирован,23.07.2016,146/1851-5
83,Карамышев Виктор Николаевич,17.12.1966,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",110,выдвинут,зарегистрирован,23.07.2016,146/1849-5
213,Добровольский Игорь Витальевич,27.09.1967,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",109,выдвинут,отказ в регистрации,12.08.2016,151/1946-5
376,Федулов Александр Михайлович,08.11.1958,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",110,выдвинут,зарегистрирован,23.07.2016,146/1847-5
380,Хмелевской Денис Леонидович,25.08.1981,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",109,выдвинут,зарегистрирован,23.07.2016,146/1848-5
391,Акиньшин Валерий Вячеславович,14.07.1978,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",110,выдвинут,зарегистрирован,03.08.2016,149/1899-5
407,Волков Алексей Николаевич,29.01.1945,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",109,выдвинут,зарегистрирован,23.07.2016,146/1850-5
587,Вдовина Екатерина Владимировна,31.01.1988,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",110,выдвинут,зарегистрирован,03.08.2016,149/1897-5
612,Харламова Алёна Алексеевна,08.07.1995,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",109,выдвинут,зарегистрирован,03.08.2016,149/1896-5
715,Вакарев Артём Васильевич,28.08.1988,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,109,выдвинут,зарегистрирован,23.07.2016,146/1845-5
877,Удовенко Антон Сергеевич,15.01.1988,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,110,выдвинут,зарегистрирован,23.07.2016,146/1844-5
940,Буданов Максим Николаевич,01.06.1977,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",110,выдвинут,зарегистрирован,21.07.2016,145/1820-5
985,Иванов Николай Николаевич,17.01.1957,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",109,выдвинут,зарегистрирован,19.07.2016,144/1798-5
1287,Распопова Анна Васильевна,07.05.1986,Политическая партия ЛДПР - Либерально-демократическая партия России,110,выдвинут,зарегистрирован,13.07.2016,142/1789-5
1335,Федоров Владимир Валерьевич,15.08.1982,Политическая партия ЛДПР - Либерально-демократическая партия России,109,выдвинут,зарегистрирован,13.07.2016,142/1788-5
1568,Руцкой Александр Владимирович,16.09.1947,"Политическая партия ""ПАТРИОТЫ РОССИИ""",110,выдвинут,зарегистрирован,23.07.2016,146/1846-5
1580,Сидорова Светлана Александровна,11.07.1959,"Политическая партия ""ПАТРИОТЫ РОССИИ""",109,выдвинут,зарегистрирован,21.07.2016,145/1821-5
1699,Ли Ольга Сергеевна,22.07.1986,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",109,выдвинут,зарегистрирован,03.08.2016,149/1895-5
1772,Шеставин Алексей Павлович,29.02.1960,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",110,выдвинут,зарегистрирован,03.08.2016,149/1898-5
1905,Черникова Татьяна Сергеевна,28.03.1981,"Политическая партия ""Российская экологическая партия ""Зеленые""",110,выдвинут,зарегистрирован,23.07.2016,146/1852-5
2025,Куракин Анатолий Александрович,07.01.1960,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,110,выдвинут,зарегистрирован,19.07.2016,144/1799-5
2130,Четвериков Александр Владимирович,08.06.1972,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,109,выдвинут,зарегистрирован,21.07.2016,145/1819-5
2192,Будков Юрий Иванович,16.06.1946,Самовыдвижение,110,выдвинут,зарегистрирован,12.08.2016,151/1945-5
