ord,fio,bday,party,okrug,vidvinut,registr,data,num
24,Борцов Николай Иванович,08.05.1945,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",114,выдвинут,зарегистрирован,20.07.2016,162/1568-5
176,Тарасенко Михаил Васильевич,21.11.1947,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",115,выдвинут,зарегистрирован,25.07.2016,164/1617-5
273,Еркина Елена Викторовна,20.02.1970,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",114,выдвинут,зарегистрирован,29.07.2016,165/1634-5
405,Валетов Сергей Анатольевич,23.08.1957,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",114,выдвинут,зарегистрирован,25.07.2016,164/1618-5
871,Трофимов Александр Вадимович,04.12.1991,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,115,выдвинут,зарегистрирован,22.07.2016,163/1591-5
872,Трофимов Вадим Юрьевич,02.04.1966,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,114,выдвинут,зарегистрирован,22.07.2016,163/1590-5
1061,Разворотнев Николай Васильевич,09.04.1954,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",114,выдвинут,зарегистрирован,22.07.2016,163/1587-5
1107,Токарев Сергей Владимирович,12.07.1977,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",115,выдвинут,зарегистрирован,22.07.2016,163/1588-5
1344,Халимончук Максим Валентинович,27.12.1981,Политическая партия ЛДПР - Либерально-демократическая партия России,114,выдвинут,зарегистрирован,25.07.2016,164/1619-5
1346,Хомутинников Олег Георгиевич,11.10.1982,Политическая партия ЛДПР - Либерально-демократическая партия России,115,выдвинут,зарегистрирован,14.07.2016,159/1550-5
1466,Фомичев Владимир Николаевич,17.07.1960,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",114,выдвинут,зарегистрирован,01.08.2016,166/1651-5
1678,Ковригин Вадим Валерьевич,24.08.1982,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",114,выдвинут,зарегистрирован,01.08.2016,166/1652-5
1731,Рожнов Евгений Вячеславович,24.08.1980,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",115,выдвинут,зарегистрирован,29.07.2016,165/1633-5
2017,Ксенофонтова Лариса Васильевна,18.12.1969,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,115,выдвинут,зарегистрирован,22.07.2016,163/1589-5
2117,Тюнина Светлана Валерьевна,02.05.1971,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,114,выдвинут,зарегистрирован,29.07.2016,165/1635-5
