ord,fio,bday,party,okrug,vidvinut,registr,data,num
110,Маграмов Абдулмажид Варисович,11.11.1956,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",12,выдвинут,зарегистрирован,28.07.2016,136/983-5
184,Умаханов Умахан Магомедгаджиевич,25.05.1965,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",10,выдвинут,зарегистрирован,27.07.2016,135/974-5
205,Эмиргамзаев Абдулгамид Гасанович,26.05.1965,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",11,выдвинут,зарегистрирован,25.07.2016,134/966-5
354,Сагидов Сагид Камалович,02.08.1980,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",12,выдвинут,зарегистрирован,30.07.2016,138/996-5
466,Мамедов Рамазан Шахбанович,05.05.1954,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",10,выдвинут,зарегистрирован,29.07.2016,137/987-5
485,Омаров Магомедрасул Магомедалиевич,22.07.1965,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",11,выдвинут,выбывший (после регистрации) кандидат,08.08.2016,145/1050-5
530,Умаров Дада Расулович,24.04.1964,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",12,выдвинут,зарегистрирован,29.07.2016,137/989-5
562,Акушали Шафи Джалал,09.08.1971,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",12,выдвинут,отказ в регистрации,11.08.2016,147/1067-5
570,Иманов Магомедали Имангаджиевич,05.09.1962,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",11,утративший статус выдвинутого кандидата,,04.08.2016,142/1029-5
691,Абдуллатипов Габиб Абдуллатипович,19.02.1980,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,10,утративший статус выдвинутого кандидата,,05.08.2016,143/1036-5
740,Джиккаев Владимир Мелитонович,14.07.1949,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,12,выдвинут,зарегистрирован,08.08.2016,145/1049-5
852,Саидов Тимур Ахмедович,30.06.1976,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,11,выдвинут,зарегистрирован,30.07.2016,138/999-5
914,Авезов Мурзадин Алибекович,02.12.1956,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",10,выдвинут,зарегистрирован,25.07.2016,134/962-5
956,Гаджиев Хаджимурад Абдулхаликович,23.04.1963,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",12,выдвинут,зарегистрирован,30.07.2016,138/1001-5
982,Зайнуков Алескендер Хизриевич,07.06.1956,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",12,утративший статус выдвинутого кандидата,,22.07.2016,27/262-7
1024,Махмудов Махмуд Гаджулаевич,26.08.1953,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",11,выдвинут,зарегистрирован,25.07.2016,134/963-5
1196,Джафаров Джафар Раджабович,26.04.1969,Политическая партия ЛДПР - Либерально-демократическая партия России,10,выдвинут,зарегистрирован,04.08.2016,142/1027-5
1197,Джафаров Ирасхан Раджабович,27.04.1974,Политическая партия ЛДПР - Либерально-демократическая партия России,12,выдвинут,зарегистрирован,04.08.2016,142/1028-5
1312,Султанов Мажи Курбанович,23.07.1981,Политическая партия ЛДПР - Либерально-демократическая партия России,11,выдвинут,зарегистрирован,30.07.2016,138/995-5
1429,Магомедов Руслан Гамзатович,06.05.1987,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",10,выдвинут,зарегистрирован,27.07.2016,135/973-5
1475,Юзик Юлия Викторовна,23.02.1981,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",12,выдвинут,зарегистрирован,29.07.2016,137/986-5
1513,Ибрагимгаджиев Ибрагимгаджи Магомедгасанович,24.08.1980,"Политическая партия ""ПАТРИОТЫ РОССИИ""",12,выдвинут,зарегистрирован,29.07.2016,137/990-5
1677,Кличханов Ислам Газрединович,15.07.1976,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",11,выдвинут,зарегистрирован,28.07.2016,136/981-5
1703,Магомедов Магомед Ахмедович,25.01.1970,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",10,утративший статус выдвинутого кандидата,,29.07.2016,137/994-5
1778,Эседов Альберт Абдурахманович,13.01.1975,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",12,выдвинут,зарегистрирован,28.07.2016,136/982-5
1781,Абдурахманов Гайирбег Магомедович,20.11.1942,"Политическая партия ""Российская экологическая партия ""Зеленые""",12,выдвинут,зарегистрирован,08.08.2016,145/1048-5
1799,Вагабов Исламутдин Шаравович,22.05.1953,"Политическая партия ""Российская экологическая партия ""Зеленые""",11,выдвинут,зарегистрирован,30.07.2016,138/998-5
1815,Джамалутдинов Муслим Магомедзапирович,10.02.1981,"Политическая партия ""Российская экологическая партия ""Зеленые""",10,выдвинут,зарегистрирован,30.07.2016,138/997-5
1921,Акулиничев Сергей Вячеславович,21.11.1971,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,12,выдвинут,зарегистрирован,30.07.2016,138/1000-5
1975,Давдиев Камил Магомедович,02.08.1972,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,10,выдвинут,зарегистрирован,25.07.2016,134/964-5
2063,Пайзулаев Мурат Магомедович,21.08.1966,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,11,выдвинут,зарегистрирован,25.07.2016,134/965-5
2144,Абасов Мамед Магарамович,02.12.1964,Самовыдвижение,11,утративший статус выдвинутого кандидата,,02.08.2016,140/1010-5
2146,Айгунов Мустафа Камильпашаевич,09.04.1981,Самовыдвижение,11,утративший статус выдвинутого кандидата,,05.08.2016,143/1034-5
2193,Валиев Залимхан Валиевич,21.02.1970,Самовыдвижение,10,выдвинут,зарегистрирован,09.08.2016,146/1054-5
2210,Гереев Руслан Маликович,05.10.1974,Самовыдвижение,11,утративший статус выдвинутого кандидата,,04.08.2016,142/1030-5
2247,Ибрагимов Магомед Ибрагимович,01.01.1960,Самовыдвижение,12,утративший статус выдвинутого кандидата,,03.08.2016,141/1017-5
2259,Касумов Джамал Гусейнович,07.06.1984,Самовыдвижение,10,выдвинут,зарегистрирован,09.08.2016,146/1055-5
2300,Магомедов Сергей Константинович,21.10.1956,Самовыдвижение,12,выдвинут,отказ в регистрации,11.08.2016,147/1068-5
2303,Маликов Магомед Шарапудинович,26.03.1983,Самовыдвижение,10,утративший статус выдвинутого кандидата,,09.08.2016,146-1059-5
2314,Мельников Олег Викторович,04.04.1991,Самовыдвижение,10,выдвинут,зарегистрирован,09.08.2016,146/1056-5
2323,Мурзаева Барият Асадулаевна,20.12.1965,Самовыдвижение,10,утративший статус выдвинутого кандидата,,06.08.2016,144/1045-5
2334,Оруджев Магомед Оруджевич,17.03.1960,Самовыдвижение,11,выдвинут,отказ в регистрации,12.08.2016,148/1078-5
2340,Палчаев Абдул Аким Нажмудинович,09.11.1972,Самовыдвижение,12,утративший статус выдвинутого кандидата,,09.08.2016,146/1060-5
2364,Рабаданов Рабазан Алибекович,22.02.1961,Самовыдвижение,12,утративший статус выдвинутого кандидата,,11.08.2016,147/1077-5
2365,Раджабов Тажидин Меджидович,06.10.1949,Самовыдвижение,11,выдвинут,отказ в регистрации,11.08.2016,147/1069-5
2369,Рашидбеков Ахмед Магомедович,05.09.1959,Самовыдвижение,12,утративший статус выдвинутого кандидата,,08.08.2016,145/1052-5
2378,Сагитаева Фарида Сагитавовна,09.05.1983,Самовыдвижение,12,выдвинут,отказ в регистрации,11.08.2016,147/1070-5
2379,Сажидов Сажид Халилрахманович,06.02.1980,Самовыдвижение,12,выдвинут,зарегистрирован,09.08.2016,146/1057-5
2414,Уциев Магомед Гаджиевич,01.01.1951,Самовыдвижение,11,утративший статус выдвинутого кандидата,,05.08.2016,143/1035-5
2424,Хархаров Абусупьян Магомедович,03.01.1967,Самовыдвижение,12,выдвинут,зарегистрирован,09.08.2016,146/1058-5
2435,Шевченко Максим Леонардович,22.02.1966,Самовыдвижение,12,выдвинут,отказ в регистрации,12.08.2016,148/1079-5
