ord,fio,bday,party,okrug,vidvinut,registr,data,num
28,Булавинов Вадим Евгеньевич,20.03.1963,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",132,выдвинут,зарегистрирован,04.08.2016,134/2133-5
77,Кавинов Артем Александрович,03.09.1969,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",133,выдвинут,зарегистрирован,21.07.2016,131/2059-5
124,Москвин Денис Павлович,11.08.1978,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",130,выдвинут,зарегистрирован,04.08.2016,134/2139-5
127,Назарова Наталья Васильевна,22.12.1953,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",131,выдвинут,зарегистрирован,25.07.2016,132/2080-5
140,Панов Владимир Александрович,10.10.1975,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",129,выдвинут,зарегистрирован,25.07.2016,132/2082-5
214,Завьялов Андрей Иванович,19.07.1969,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",132,выдвинут,отказ в регистрации,12.08.2016,137/2219-5
218,Кузьмичёв Вячеслав Юрьевич,11.09.1965,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",131,выдвинут,отказ в регистрации,12.08.2016,137/2218-5
229,Столяров Андрей Станиславович,17.03.1980,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",130,выдвинут,отказ в регистрации,12.08.2016,137/2217-5
230,Юдин Андрей Иванович,29.03.1970,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",129,выдвинут,отказ в регистрации,12.08.2016,137/2216-5
295,Косовских Александр Альбертович,11.05.1960,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",131,выдвинут,зарегистрирован,04.08.2016,134/2136-5
300,Кузнецов Валерий Григорьевич,02.03.1941,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",129,выдвинут,зарегистрирован,08.08.2016,135/2161-5
309,Лузин Сергей Михайлович,25.03.1958,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",132,выдвинут,зарегистрирован,08.08.2016,135/2162-5
359,Севридова Ирина Сергеевна,23.01.1984,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",133,выдвинут,зарегистрирован,08.08.2016,135/2164-5
