ord,fio,bday,party,okrug,vidvinut,registr,data,num
41,Голушко Андрей Иванович,01.12.1964,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",141,выдвинут,зарегистрирован,27.07.2016,141-12-25
200,Шрейдер Виктор Филиппович,23.02.1952,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",139,выдвинут,зарегистрирован,27.07.2016,139-10-22
272,Еременко Татьяна Анатольевна,12.01.1968,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",139,выдвинут,зарегистрирован,02.08.2016,139-11-24
296,Кочетков Сергей Петрович,13.01.1977,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",141,выдвинут,зарегистрирован,29.07.2016,141-13-27
334,Огаркова Татьяна Михайловна,29.04.1988,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",140,выдвинут,зарегистрирован,02.08.2016,140-10-19
557,Якименко Алексей Евгеньевич,09.08.1961,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",141,выдвинут,зарегистрирован,02.08.2016,141-14-29
621,Артемьев Николай Викторович,08.03.1974,"Политическая партия ""Гражданская Платформа""",139,выдвинут,зарегистрирован,27.07.2016,139-10-23
644,Колесников Олег Юрьевич,15.10.1967,"Политическая партия ""Гражданская Платформа""",141,выдвинут,зарегистрирован,27.07.2016,141-12-24
650,Курнявко Олег Леонидович,14.10.1974,"Политическая партия ""Гражданская Платформа""",140,выдвинут,зарегистрирован,29.07.2016,140-9-18
705,Барков Александр Валерьевич,24.06.1973,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,139,выдвинут,зарегистрирован,26.07.2016,139-9-17
751,Жуков Владимир Алексеевич,03.12.1969,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,140,выдвинут,зарегистрирован,26.07.2016,140-8-14
835,Подзоров Александр Георгиевич,18.07.1976,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,141,выдвинут,зарегистрирован,26.07.2016,141-11-20
918,Алехин Андрей Анатольевич,09.02.1959,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",139,выдвинут,зарегистрирован,26.07.2016,139-9-18
973,Денисенко Олег Иванович,15.04.1962,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",141,выдвинут,зарегистрирован,29.07.2016,141-13-26
1087,Смолин Олег Николаевич,10.02.1952,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",140,выдвинут,зарегистрирован,26.07.2016,140-8-15
1146,Атаманиченко Кирилл Игоревич,22.02.1990,Политическая партия ЛДПР - Либерально-демократическая партия России,140,выдвинут,зарегистрирован,26.07.2016,140-8-13
1232,Клепиков Алексей Анатольевич,17.06.1972,Политическая партия ЛДПР - Либерально-демократическая партия России,139,выдвинут,зарегистрирован,27.07.2016,139-10-20
1252,Ложкин Алексей Николаевич,18.05.1976,Политическая партия ЛДПР - Либерально-демократическая партия России,141,выдвинут,зарегистрирован,26.07.2016,141-11-19
1370,Аргат Ольга Владимировна,19.05.1981,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",141,выдвинут,зарегистрирован,27.07.2016,141-12-23
1372,Асташенко Сергей Дмитриевич,10.11.1971,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",140,выдвинут,зарегистрирован,26.07.2016,140-8-17
1377,Басов Игорь Геннадьевич,07.01.1963,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",139,выдвинут,зарегистрирован,27.07.2016,139-10-19
1686,Костарев Сергей Владимирович,24.06.1961,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",139,выдвинут,зарегистрирован,27.07.2016,139-10-21
1706,Мельников Борис Викторович,18.09.1958,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",141,выдвинут,зарегистрирован,27.07.2016,141-12-22
1969,Горовцов Дмитрий Евгеньевич,06.11.1966,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,139,выдвинут,зарегистрирован,26.07.2016,139-9-16
1981,Дубовский Евгений Юрьевич,20.06.1967,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,140,выдвинут,зарегистрирован,26.07.2016,140-8-16
2016,Кравцов Александр Владимирович,07.07.1963,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,141,выдвинут,зарегистрирован,26.07.2016,141-11-21
2216,Григорьева Алеся Викторовна,21.05.1978,Самовыдвижение,140,выдвинут,отказ в регистрации,12.08.2016,140-12-22
2279,Кривошеев Юрий Вячеславович,17.04.1973,Самовыдвижение,141,выдвинут,отказ в регистрации,12.08.2016,141-15-31
2375,Рубанова Елена Владимировна,15.06.1973,Самовыдвижение,141,выдвинут,отказ в регистрации,02.08.2016,141-14-28
2386,Селезнев Виктор Владимирович,05.07.1963,Самовыдвижение,141,выдвинут,отказ в регистрации,12.08.2016,141-15-32
2425,Хасанов Мухаметкали,04.05.1947,Самовыдвижение,140,выдвинут,отказ в регистрации,12.08.2016,140-12-21
