ord,fio,bday,party,okrug,vidvinut,registr,data,num
63,Заварзин Виктор Михайлович,28.11.1948,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",144,выдвинут,зарегистрирован,05.08.2016,27/284-6
122,Мищеряков Юрий Николаевич,01.01.1945,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",142,выдвинут,зарегистрирован,01.08.2016,26/262-6
174,Сухарев Игорь Николаевич,26.10.1968,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",143,выдвинут,зарегистрирован,05.08.2016,27/281-6
212,Деденев Алексей Анатольевич,05.08.1974,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",142,выдвинут,отказ в регистрации,13.08.2016,30/309-6
328,Нетесанов Сергей Дмитриевич,24.02.1952,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",144,выдвинут,зарегистрирован,01.08.2016,26/269-6
375,Туршинов Дидар Саулебаевич,28.03.1985,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",143,выдвинут,зарегистрирован,05.08.2016,27/282-6
378,Фомин Сергей Александрович,25.08.1975,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",142,выдвинут,зарегистрирован,01.08.2016,26/263-6
414,Головина Татьяна Александровна,19.08.1988,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",143,выдвинут,зарегистрирован,01.08.2016,26/265-6
506,Рычагов Антон Владимирович,09.11.1982,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",142,выдвинут,зарегистрирован,09.08.2016,28/294-6
584,Шишков Евгений Владимирович,24.06.1975,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",142,выдвинут,отказ в регистрации,13.08.2016,30/310-6
767,Калинин Александр Владимирович,10.08.1968,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,142,выдвинут,зарегистрирован,05.08.2016,27/276-6
813,Мунжасаров Нурлан Нурмагамбетович,12.07.1981,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,143,выдвинут,зарегистрирован,05.08.2016,27/280-6
920,Амелин Максим Анатольевич,01.05.1974,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",142,выдвинут,зарегистрирован,26.07.2016,22/231-6
984,Иванов Александр Анатольевич,24.01.1970,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",144,выдвинут,зарегистрирован,01.08.2016,26/268-6
1110,Уралов Семен Сергеевич,20.04.1979,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",143,выдвинут,зарегистрирован,01.08.2016,26/266-6
1223,Карпов Александр Николаевич,12.02.1971,Политическая партия ЛДПР - Либерально-демократическая партия России,142,выдвинут,зарегистрирован,23.07.2016,21/227-6
1226,Катасонов Сергей Михайлович,01.05.1963,Политическая партия ЛДПР - Либерально-демократическая партия России,143,выдвинут,зарегистрирован,23.07.2016,21/228-6
1263,Мирохин Владимир Юрьевич,16.05.1984,Политическая партия ЛДПР - Либерально-демократическая партия России,144,выдвинут,зарегистрирован,23.07.2016,21/229-6
1411,Климова Ирина Александровна,16.10.1958,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",143,выдвинут,зарегистрирован,05.08.2016,27/279-6
1452,Рыбалко Ольга Александровна,09.03.1969,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",144,выдвинут,зарегистрирован,05.08.2016,27/286-6
1461,Столпак Сергей Павлович,04.07.1959,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",142,выдвинут,зарегистрирован,05.08.2016,27/277-6
1488,Бенцман Сергей Исакович,04.09.1968,"Политическая партия ""ПАТРИОТЫ РОССИИ""",144,выдвинут,зарегистрирован,05.08.2016,27/283-6
1598,Химич Сергей Александрович,10.09.1973,"Политическая партия ""ПАТРИОТЫ РОССИИ""",142,выдвинут,зарегистрирован,05.08.2016,27/278-6
1604,Щепинов Максим Александрович,11.09.1974,"Политическая партия ""ПАТРИОТЫ РОССИИ""",143,выдвинут,зарегистрирован,01.08.2016,26/267-6
1667,Исмагилов Руслан Шавкатович,03.11.1972,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",144,выдвинут,зарегистрирован,05.08.2016,27/285-6
1697,Лазаров Георги Атанасов,31.05.1982,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",143,выдвинут,зарегистрирован,09.08.2016,28/296-6
1757,Тишин Владимир Владимирович,27.07.1976,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",142,выдвинут,зарегистрирован,09.08.2016,28/295-6
1928,Асяев Фаик Инсафович,14.07.1967,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,143,выдвинут,зарегистрирован,01.08.2016,26/264-6
2023,Кулахметов Кайрат Жайгунусович,30.01.1978,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,144,выдвинут,зарегистрирован,29.07.2016,24/241-6
2123,Фролов Владимир Иванович,30.07.1954,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,142,выдвинут,зарегистрирован,29.07.2016,24/240-6
