ord,fio,bday,party,okrug,vidvinut,registr,data,num
91,Ковалев Николай Дмитриевич,06.08.1949,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",145,выдвинут,зарегистрирован,27.07.2016,155/1279-5
294,Корнеев Андрей Геннадьевич,27.07.1967,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",145,выдвинут,зарегистрирован,03.08.2016,157/1292-5
474,Моторный Виктор Владимирович,14.09.1957,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",145,выдвинут,зарегистрирован,27.07.2016,155/1281-5
676,Фёдоров Игорь Николаевич,07.01.1965,"Политическая партия ""Гражданская Платформа""",145,выдвинут,зарегистрирован,27.07.2016,155/1284-5
716,Вакарев Михаил Васильевич,23.04.1985,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,145,выдвинут,зарегистрирован,27.07.2016,155/1280-5
990,Иконников Василий Николаевич,26.04.1961,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",145,выдвинут,зарегистрирован,24.07.2016,154/1269-5
1246,Куцын Андрей Александрович,10.04.1988,Политическая партия ЛДПР - Либерально-демократическая партия России,145,выдвинут,зарегистрирован,27.07.2016,155/1283-5
1413,Комов Игорь Анатольевич,01.08.1950,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",145,выдвинут,зарегистрирован,27.07.2016,155/1282-5
1672,Кириллов Александр Петрович,05.07.1954,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",145,выдвинут,зарегистрирован,03.08.2016,157/1294-5
2068,Перелыгин Руслан Викторович,08.05.1982,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,145,выдвинут,зарегистрирован,03.08.2016,157/1293-5
