ord,fio,bday,party,okrug,vidvinut,registr,data,num
56,Есяков Сергей Яковлевич,11.08.1963,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",146,выдвинут,зарегистрирован,22.07.2016,159/988-5
250,Гайнуллин Дмитрий Фаридович,21.08.1966,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",147,выдвинут,зарегистрирован,29.07.2016,161/1006-5
467,Мамонов Андрей Викторович,05.06.1972,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",147,выдвинут,зарегистрирован,22.07.2016,159/991-5
488,Пакаев Алексей Федорович,10.04.1950,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",146,выдвинут,зарегистрирован,22.07.2016,159/992-5
741,Добровольская Виктория Дмитриевна,22.06.1993,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,147,выдвинут,зарегистрирован,22.07.2016,159/990-5
818,Никифоров Андрей Васильевич,29.04.1966,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,146,выдвинут,зарегистрирован,01.08.2016,162/1009-5
993,Камнев Георгий Петрович,05.10.1983,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",146,выдвинут,зарегистрирован,29.07.2016,161/1002-5
1115,Филяев Дмитрий Олегович,25.01.1990,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",147,выдвинут,зарегистрирован,29.07.2016,161/1003-5
1171,Васильев Александр Евгеньевич,24.06.1981,Политическая партия ЛДПР - Либерально-демократическая партия России,147,выдвинут,зарегистрирован,20.07.2016,158/970-5
1244,Куликов Павел Владимирович,18.08.1985,Политическая партия ЛДПР - Либерально-демократическая партия России,146,выдвинут,зарегистрирован,20.07.2016,158/969-5
1527,Коробов Сергей Александрович,31.10.1958,"Политическая партия ""ПАТРИОТЫ РОССИИ""",146,выдвинут,зарегистрирован,22.07.2016,159/989-5
1785,Алексютин Анатолий Васильевич,25.03.1959,"Политическая партия ""Российская экологическая партия ""Зеленые""",146,выдвинут,зарегистрирован,29.07.2016,161/1004-5
1852,Мельниченко Василий Александрович,14.01.1954,"Политическая партия ""Российская экологическая партия ""Зеленые""",147,выдвинут,зарегистрирован,29.07.2016,161/1005-5
2010,Коломыцева Людмила Викторовна,02.06.1969,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,146,выдвинут,зарегистрирован,20.07.2016,158/968-5
2028,Левин Леонид Леонидович,02.09.1974,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,147,выдвинут,зарегистрирован,20.07.2016,158/967-5
2206,Галкин Николай Васильевич,11.08.1968,Самовыдвижение,146,выдвинут,отказ в регистрации,09.08.2016,164/1013-5
2353,Подчищалина Нина Сергеевна,01.11.1950,Самовыдвижение,146,утративший статус выдвинутого кандидата,,09.08.2016,164/1012-5
2358,Потемкин Игорь Федорович,05.04.1959,Самовыдвижение,147,выдвинут,отказ в регистрации,09.08.2016,164/1014-5
