ord,fio,bday,party,okrug,vidvinut,registr,data,num
189,Харсиев Алихан Анатольевич,10.06.1956,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",13,выдвинут,зарегистрирован,10.08.2016,129/737-5
425,Дзауров Магамет Хасанович,12.08.1962,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",13,выдвинут,зарегистрирован,11.08.2016,130/749-5
734,Гусейнов Мухамедали Сардарович,09.05.1988,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,13,выдвинут,зарегистрирован,29.07.2016,127/722-5
935,Богатырев Ильяс Сулейманович,02.10.1977,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",13,выдвинут,зарегистрирован,11.08.2016,130/750-5
1182,Гадиев Ислам Геланиевич,05.12.1992,Политическая партия ЛДПР - Либерально-демократическая партия России,13,выдвинут,зарегистрирован,10.08.2016,129/745-5
1627,Борщев Валерий Васильевич,01.01.1943,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",13,выдвинут,зарегистрирован,12.08.2016,131/759-5
1903,Чемхильгов Казбек Баширович,27.12.1962,"Политическая партия ""Российская экологическая партия ""Зеленые""",13,выдвинут,зарегистрирован,29.07.2016,127/723-5
2042,Мартазанов Абдулмажит Кадирович,10.01.1980,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,13,выдвинут,зарегистрирован,10.08.2016,129/738-5
2229,Евлоев Борис Борисович,26.08.1984,Самовыдвижение,13,выдвинут,зарегистрирован,05.08.2016,128/727-5
2262,Келигов Башир Муссаевич,01.03.1993,Самовыдвижение,13,выдвинут,отказ в регистрации,12.08.2016,131/763-5
2263,Келигова Лейла Магомедовна,29.10.1958,Самовыдвижение,13,выдвинут,отказ в регистрации,12.08.2016,131/762-5
