ord,fio,bday,party,okrug,vidvinut,registr,data,num
95,Козловский Александр Николаевич,05.05.1973,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",148,выдвинут,зарегистрирован,05.08.2016,15/42-5
297,Краснов Василий Борисович,28.01.1983,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",148,выдвинут,зарегистрирован,02.08.2016,13/37-5
406,Вилков Константин Владимирович,27.04.1985,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",148,выдвинут,зарегистрирован,04.08.2016,14/39-5
611,Хамзаев Бийсултан Султанбиевич,24.05.1982,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",148,выдвинут,зарегистрирован,01.08.2016,12/36-5
628,Галкина Анна Андреевна,22.08.1994,"Политическая партия ""Гражданская Платформа""",148,выдвинут,зарегистрирован,05.08.2016,15/41-5
746,Евдокименко Вячеслав Сергеевич,26.08.1979,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,148,выдвинут,зарегистрирован,29.07.2016,10/33-5
1064,Рогов Александр Анатольевич,09.05.1966,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",148,выдвинут,зарегистрирован,27.07.2016,9/31-5
1261,Минаков Антон Александрович,14.11.1986,Политическая партия ЛДПР - Либерально-демократическая партия России,148,выдвинут,зарегистрирован,30.07.2016,11/34-5
1600,Хоронен Михаил Яковлевич,10.09.1949,"Политическая партия ""ПАТРИОТЫ РОССИИ""",148,выдвинут,зарегистрирован,01.08.2016,12/35-5
1775,Шлосберг Лев Маркович,30.07.1963,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",148,выдвинут,зарегистрирован,04.08.2016,14/40-5
1850,Малышкин Ремм Реммович,25.08.1984,"Политическая партия ""Российская экологическая партия ""Зеленые""",148,выдвинут,зарегистрирован,02.08.2016,13/38-5
1948,Брячак Олег Михайлович,18.01.1980,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,148,выдвинут,зарегистрирован,29.07.2016,10/32-5
