ord,fio,bday,party,okrug,vidvinut,registr,data,num
49,Дерябкин Виктор Ефимович,11.05.1954,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",155,выдвинут,зарегистрирован,29.07.2016,12-4
90,Кобзев Юрий Викторович,20.12.1972,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",151,выдвинут,зарегистрирован,26.07.2016,12-1-4
183,Тутова Лариса Николаевна,18.10.1969,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",149,выдвинут,зарегистрирован,28.07.2016,13-1
195,Чернышев Михаил Анатольевич,06.03.1950,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",152,выдвинут,зарегистрирован,28.07.2016,15-2
199,Шолохов Александр Михайлович,25.01.1962,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",153,выдвинут,зарегистрирован,29.07.2016,15-1
204,Щаблыкин Максим Иванович,13.07.1970,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",154,выдвинут,зарегистрирован,29.07.2016,10-3
247,Величко Дмитрий Алексеевич,23.03.1985,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",150,выдвинут,зарегистрирован,31.07.2016,14-1
299,Крылов Станислав Игоревич,01.11.1965,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",149,выдвинут,зарегистрирован,29.07.2016,14-1
390,Аверченко Владимир Александрович,23.07.1950,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",153,выдвинут,зарегистрирован,01.08.2016,17-1
426,Дударев Алексей Викторович,26.03.1990,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",150,выдвинут,зарегистрирован,01.08.2016,15-1
436,Зубов Геннадий Михайлович,25.11.1976,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",152,выдвинут,зарегистрирован,02.08.2016,17-1
459,Лесняк Маргарита Юрьевна,05.08.1975,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",149,выдвинут,выбывший (после регистрации) кандидат,17.08.2016,20-1
464,Лютов Алексей Павлович,21.01.1960,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",155,выдвинут,зарегистрирован,03.08.2016,13-3
470,Мелешко Валерий Анатольевич,23.04.1962,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",151,выдвинут,зарегистрирован,29.07.2016,13-1-4
525,Тищенко Александр Алексеевич,27.02.1974,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",154,выдвинут,зарегистрирован,29.07.2016,10-6
568,Гуржиева Лариса Владимировна,05.05.1964,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",151,выдвинут,отказ в регистрации,04.08.2016,14-2
574,Кудыш Светлана Алексеевна,23.12.1986,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",152,выдвинут,отказ в регистрации,12.08.2016,21-1
620,Анипко Сергей Викторович,21.02.1973,"Политическая партия ""Гражданская Платформа""",154,выдвинут,зарегистрирован,29.07.2016,10-7
623,Безрученко Александр Анатольевич,02.02.1979,"Политическая партия ""Гражданская Платформа""",151,выдвинут,зарегистрирован,29.07.2016,13-1-2
626,Волощук Вячеслав Александрович,24.06.1978,"Политическая партия ""Гражданская Платформа""",149,выдвинут,зарегистрирован,03.08.2016,16-1
648,Короченский Дмитрий Анатольевич,16.07.1979,"Политическая партия ""Гражданская Платформа""",153,выдвинут,зарегистрирован,31.07.2016,16-2
670,Степаненко Вячеслав Геннадьевич,03.05.1976,"Политическая партия ""Гражданская Платформа""",155,выдвинут,зарегистрирован,03.08.2016,13-2
682,Черепанова Татьяна Александровна,13.09.1985,"Политическая партия ""Гражданская Платформа""",152,выдвинут,зарегистрирован,02.08.2016,17-2
720,Волков Павел Николаевич,22.02.1988,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,149,выдвинут,зарегистрирован,28.07.2016,13-2
753,Зайдлин Алексей Михайлович,26.06.1979,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,151,выдвинут,зарегистрирован,26.07.2016,12-1-2
