ord,fio,bday,party,okrug,vidvinut,registr,data,num
44,Грищенко Олег Васильевич,10.08.1966,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",163,выдвинут,зарегистрирован,22.07.2016,01-07/114-р
73,Исаев Михаил Александрович,26.01.1974,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",165,выдвинут,зарегистрирован,28.07.2016,20/8
112,Максимов Василий Юрьевич,28.01.1954,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",166,выдвинут,зарегистрирован,29.07.2016,01-07/239-Р
139,Панков Николай Васильевич,05.01.1965,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",164,выдвинут,зарегистрирован,29.07.2016,01-09/171-Р
265,Дерябин Владимир Анатольевич,28.02.1958,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",164,выдвинут,зарегистрирован,29.07.2016,01-09/170-Р
314,Мазепов Алексей Анатольевич,08.04.1968,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",166,выдвинут,зарегистрирован,29.07.2016,01-07/238-Р
352,Ромашкин Тимур Владимирович,16.08.1983,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",165,выдвинут,выбывший (после регистрации) кандидат,22.08.2016,25/1
379,Ханенко Дмитрий Борисович,11.10.1970,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",163,выдвинут,зарегистрирован,29.07.2016,01-07/119-р
524,Терехин Глеб Юрьевич,17.09.1979,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",164,выдвинут,зарегистрирован,29.07.2016,01-09/172-Р
554,Щербаков Вячеслав Дмитриевич,26.08.1956,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",165,выдвинут,зарегистрирован,28.07.2016,20/7
610,Фролова Наталия Геннадиевна,26.08.1971,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",164,выдвинут,зарегистрирован,29.07.2016,01-09/173-Р
667,Смирнов Максим Алексеевич,01.11.1994,"Политическая партия ""Гражданская Платформа""",164,выдвинут,зарегистрирован,29.07.2016,01-09/174-Р
721,Гавриличев Юрий Владимирович,25.06.1949,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,165,выдвинут,зарегистрирован,28.07.2016,20/4
722,Герман Александр Петрович,27.02.1957,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,164,выдвинут,зарегистрирован,20.07.2016,01-09/140-Р
728,Гришанцов Александр Иванович,14.11.1954,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,166,выдвинут,зарегистрирован,26.07.2016,01-07/232-Р
855,Сафьянов Виктор Владимирович,07.06.1949,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,163,выдвинут,зарегистрирован,02.08.2016,01-07/123-р
919,Алимова Ольга Николаевна,10.04.1953,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",165,выдвинут,зарегистрирован,22.07.2016,19/5
924,Анидалов Александр Юрьевич,20.11.1972,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",163,выдвинут,зарегистрирован,22.07.2016,01-07/112-р
928,Афанасьев Сергей Николаевич,28.07.1954,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",166,выдвинут,зарегистрирован,26.07.2016,01-07/231-Р
1020,Лубкова Ольга Всеволодовна,24.12.1958,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",164,выдвинут,зарегистрирован,20.07.2016,01-09/141-Р
1149,Ашихмин Сергей Васильевич,14.08.1961,Политическая партия ЛДПР - Либерально-демократическая партия России,164,выдвинут,зарегистрирован,20.07.2016,01-09/138-Р
1218,Ищенко Антон Анатольевич,15.08.1973,Политическая партия ЛДПР - Либерально-демократическая партия России,163,выдвинут,зарегистрирован,22.07.2016,01-07/110-р
1258,Мартынова Светлана Александровна,19.04.1973,Политическая партия ЛДПР - Либерально-демократическая партия России,165,выдвинут,зарегистрирован,22.07.2016,19/4
1285,Пьяных Дмитрий Сергеевич,05.08.1992,Политическая партия ЛДПР - Либерально-демократическая партия России,166,выдвинут,зарегистрирован,26.07.2016,01-07/233-Р
1374,Байрамов Эльнур Абдулали оглы,23.04.1987,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",166,выдвинут,зарегистрирован,29.07.2016,01-07/236-Р
1408,Игнатьев Дмитрий Андреевич,28.06.1987,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",165,выдвинут,зарегистрирован,28.07.2016,20/3
1423,Ледков Александр Владимирович,28.01.1970,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",163,выдвинут,зарегистрирован,02.08.2016,01-07/125-р
1433,Мальцев Роман Вячеславович,27.11.1989,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",164,выдвинут,зарегистрирован,29.07.2016,01-09/176-Р
1521,Киселенко Андрей Юрьевич,08.05.1973,"Политическая партия ""ПАТРИОТЫ РОССИИ""",164,выдвинут,выбывший (после регистрации) кандидат,06.08.2016,01-09/188-Р
1652,Ермишин Александр Владимирович,13.12.1969,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",164,выдвинут,зарегистрирован,29.07.2016,01-09/175-Р
1657,Журбин Александр Павлович,19.10.1950,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",166,выдвинут,зарегистрирован,29.07.2016,01-07/237-Р
1679,Козляков Илья Романович,03.10.1988,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",165,выдвинут,зарегистрирован,28.07.2016,20/2
1683,Коннычев Дмитрий Викторович,01.08.1972,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",163,выдвинут,зарегистрирован,29.07.2016,01-07/121-р
1844,Купец Анна Владимировна,30.06.1986,"Политическая партия ""Российская экологическая партия ""Зеленые""",165,выдвинут,зарегистрирован,28.07.2016,20/6
1893,Трищанович Алиса Дмитриевна,04.12.1988,"Политическая партия ""Российская экологическая партия ""Зеленые""",164,выдвинут,зарегистрирован,29.07.2016,01-09/177-Р
1898,Фролов Александр Васильевич,05.04.1950,"Политическая партия ""Российская экологическая партия ""Зеленые""",163,выдвинут,зарегистрирован,29.07.2016,01-07/120-р
1899,Фролов Константин Александрович,20.04.1988,"Политическая партия ""Российская экологическая партия ""Зеленые""",166,выдвинут,зарегистрирован,04.08.2016,01-07/255-Р
1977,Дементьев Михаил Юрьевич,10.11.1950,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,164,выдвинут,зарегистрирован,20.07.2016,01-09/139-Р
2049,Миронов Павел Васильевич,01.09.1986,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,163,выдвинут,зарегистрирован,22.07.2016,01-07/113-р
2071,Платошина Галина Геннадьевна,08.05.1961,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,165,выдвинут,зарегистрирован,28.07.2016,20/1
2095,Сарсенгалиев Токтар Аянбаевич,29.05.1965,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,166,выдвинут,зарегистрирован,26.07.2016,01-07/234-Р
2184,Бойко Сергей Геннадьевич,24.10.1984,Самовыдвижение,164,выдвинут,отказ в регистрации,08.08.2016,01-09/194-Р
2220,Даньшин Сергей Викторович,06.03.1962,Самовыдвижение,163,выдвинут,отказ в регистрации,12.08.2016,01-07/128-Р
2227,Дудинова Ольга Владимировна,05.03.1959,Самовыдвижение,166,утративший статус выдвинутого кандидата,,04.08.2016,01-07/256-Р
2327,Нигреев Вадим Анатольевич,04.12.1967,Самовыдвижение,163,выдвинут,отказ в регистрации,12.08.2016,01-07/129-Р
2374,Ростра Дионис Александрович,03.10.1945,Самовыдвижение,164,утративший статус выдвинутого кандидата,,29.07.2016,01-09/178-Р
2398,Сурганов Николай Викторович,01.01.1962,Самовыдвижение,164,выдвинут,отказ в регистрации,08.08.2016,01-09/196-Р
