ord,fio,bday,party,okrug,vidvinut,registr,data,num
85,Карлов Георгий Александрович,04.01.1971,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",167,выдвинут,зарегистрирован,09.08.2016,187/1476
418,Григоренко Алексей Николаевич,07.09.1976,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",167,выдвинут,зарегистрирован,05.08.2016,186/1464
758,Зенкин Александр Михайлович,10.11.1949,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,167,выдвинут,зарегистрирован,05.08.2016,186/1466
987,Иванова Светлана Васильевна,26.03.1953,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",167,выдвинут,зарегистрирован,29.07.2016,185/1461
1341,Флеер Дмитрий Александрович,09.07.1973,Политическая партия ЛДПР - Либерально-демократическая партия России,167,выдвинут,зарегистрирован,22.07.2016,183/1446
1565,Репина Ирина Геннадьевна,12.10.1966,"Политическая партия ""ПАТРИОТЫ РОССИИ""",167,выдвинут,зарегистрирован,09.08.2016,187/1475
1720,Пак Вениамин Аркадьевич,23.03.1983,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",167,выдвинут,зарегистрирован,05.08.2016,186/1465
2109,Таран Эдуард Олегович,13.10.1968,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,167,выдвинут,зарегистрирован,29.07.2016,185/1462
2217,Гуркин Антон Николаевич,13.08.1985,Самовыдвижение,167,утративший статус выдвинутого кандидата,,05.08.2016,186/1467
2294,Латашенко Светлана Васильевна,24.09.1972,Самовыдвижение,167,утративший статус выдвинутого кандидата,,25.07.2016,184/1459
