ord,fio,bday,party,okrug,vidvinut,registr,data,num
5,Альшевских Андрей Геннадьевич,14.05.1972,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",168,выдвинут,зарегистрирован,30.07.2016,17/48
10,Балыбердин Алексей Владимирович,27.04.1978,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",171,выдвинут,зарегистрирован,30.07.2016,15/91
17,Бидонько Сергей Юрьевич,18.08.1975,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",174,выдвинут,зарегистрирован,28.07.2016,19/55
68,Иванов Максим Анатольевич,24.11.1967,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",172,выдвинут,зарегистрирован,27.07.2016,20/88
92,Ковпак Лев Игоревич,23.10.1978,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",169,выдвинут,зарегистрирован,27.07.2016,18/87
126,Муцоев Зелимхан Аликоевич,13.10.1959,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",173,выдвинут,зарегистрирован,29.07.2016,16/87
192,Чепиков Сергей Владимирович,30.01.1967,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",170,выдвинут,зарегистрирован,30.07.2016,13/69
233,Бабкин Сергей Валентинович,20.10.1965,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",172,выдвинут,зарегистрирован,01.08.2016,24/107
244,Васильев Павел Валерьевич,19.02.1977,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",168,выдвинут,выбывший (после регистрации) кандидат,12.08.2016,20/60
253,Герасименко Владимир Леонидович,02.04.1970,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",169,выдвинут,зарегистрирован,28.07.2016,19/88
313,Люфт Сергей Александрович,20.01.1969,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",171,выдвинут,зарегистрирован,01.08.2016,16/97
323,Молоков Валерий Юрьевич,22.05.1986,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",170,выдвинут,зарегистрирован,30.07.2016,13/67
324,Мордвов Лев Евгеньевич,13.04.1956,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",174,выдвинут,зарегистрирован,31.07.2016,21/62
351,Ренжин Сергей Васильевич,03.02.1975,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",173,выдвинут,зарегистрирован,29.07.2016,16/90
439,Иванов Валерий Фёдорович,20.01.1957,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",169,выдвинут,зарегистрирован,28.07.2016,19/89
465,Мамаков Салаудин Хасмагамедович,28.01.1957,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",171,выдвинут,зарегистрирован,30.07.2016,15/92
543,Черемисин Дмитрий Николаевич,25.01.1978,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",172,выдвинут,зарегистрирован,30.07.2016,22/94
547,Шабанов Владимир Геннадьевич,07.05.1958,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",168,выдвинут,зарегистрирован,28.07.2016,16/47
550,Шингаркин Максим Андреевич,01.09.1968,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",174,выдвинут,зарегистрирован,03.08.2016,23/66
637,Ильин Александр Михайлович,06.04.1995,"Политическая партия ""Гражданская Платформа""",174,выдвинут,зарегистрирован,31.07.2016,21/61
693,Абрамов Дмитрий Анатольевич,18.12.1973,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,171,выдвинут,зарегистрирован,27.07.2016,14/89
708,Белов Денис Юрьевич,07.05.1994,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,172,выдвинут,зарегистрирован,27.07.2016,20/87
754,Зайцев Сергей Михайлович,11.08.1989,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,168,выдвинут,зарегистрирован,26.07.2016,15/43
768,Камалов Марат Анасович,20.02.1968,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,174,выдвинут,выбывший (после регистрации) кандидат,18.08.2016,3а-352/2016
770,Карашевич Константин Вячеславович,08.12.1968,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,169,выдвинут,зарегистрирован,27.07.2016,18/86
836,Полетаев Алексей Евгеньевич,17.03.1984,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,173,выдвинут,зарегистрирован,29.07.2016,16/89
887,Хасанзянов Руслан Сагитович,31.07.1986,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,170,выдвинут,зарегистрирован,28.07.2016,11/59
937,Боровик Евгений Михайлович,18.06.1982,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",170,выдвинут,зарегистрирован,29.07.2016,12/63
946,Вегнер Вячеслав Михайлович,03.02.1959,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",172,выдвинут,зарегистрирован,30.07.2016,22/92
977,Езерский Николай Николаевич,08.05.1956,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",173,выдвинут,зарегистрирован,29.07.2016,16/88
1046,Парфенов Алексей Александрович,17.10.1972,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",169,выдвинут,зарегистрирован,30.07.2016,20/93
1056,Потанин Владислав Владимирович,18.02.1975,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",171,выдвинут,зарегистрирован,25.07.2016,13/85
1084,Скоморохова Римма Вениаминовна,26.12.1964,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",168,выдвинут,зарегистрирован,30.07.2016,17/50
1096,Столбов Александр Александрович,19.08.1973,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",174,выдвинут,зарегистрирован,28.07.2016,19/57
1153,Безденежных Антон Юрьевич,20.04.1987,Политическая партия ЛДПР - Либерально-демократическая партия России,173,выдвинут,зарегистрирован,20.07.2016,13/73
1193,Давлетшин Павел Ильфатович,24.09.1981,Политическая партия ЛДПР - Либерально-демократическая партия России,170,выдвинут,зарегистрирован,22.07.2016,10/54
1286,Раинбаков Ильдар Салимчанович,13.01.1985,Политическая партия ЛДПР - Либерально-демократическая партия России,171,выдвинут,зарегистрирован,18.07.2016,12/80
1301,Сизов Денис Васильевич,11.07.1982,Политическая партия ЛДПР - Либерально-демократическая партия России,168,выдвинут,зарегистрирован,19.07.2016,14/41
1310,Субботин Константин Сергеевич,14.01.1982,Политическая партия ЛДПР - Либерально-демократическая партия России,169,выдвинут,зарегистрирован,16.07.2016,14/76
1324,Торощин Игорь Андреевич,09.12.1985,Политическая партия ЛДПР - Либерально-демократическая партия России,172,выдвинут,зарегистрирован,16.07.2016,15/72
1359,Шилков Данил Евгеньевич,25.09.1982,Политическая партия ЛДПР - Либерально-демократическая партия России,174,выдвинут,зарегистрирован,17.07.2016,14/40
1378,Бастрыгина Галина Васильевна,21.11.1941,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",174,выдвинут,зарегистрирован,03.08.2016,23/67
1382,Борисов Михаил Орестович,27.11.1957,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",170,выдвинут,зарегистрирован,29.07.2016,12/62
1384,Бровин Михаил Георгиевич,26.01.1944,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",171,выдвинут,зарегистрирован,01.08.2016,16/100
1388,Верников Максим Борисович,15.07.1992,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",172,выдвинут,зарегистрирован,30.07.2016,22/93
1414,Конаков Игорь Николаевич,28.07.1964,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",173,выдвинут,зарегистрирован,03.08.2016,18/95
