ord,fio,bday,party,okrug,vidvinut,registr,data,num
60,Жупиков Александр Владимирович,29.04.1978,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",178,выдвинут,зарегистрирован,29.07.2016,10/23
146,Поляков Александр Алексеевич,31.01.1969,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",177,выдвинут,зарегистрирован,29.07.2016,12/27
320,Мисанова Ирина Николаевна,01.11.1967,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",177,выдвинут,зарегистрирован,29.07.2016,12/25
393,Артемов Анатолий Анатольевич,25.04.1965,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",177,выдвинут,зарегистрирован,29.07.2016,12/30
541,Худяков Роман Иванович,28.01.1977,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",178,выдвинут,зарегистрирован,01.08.2016,12/26
606,Спирин Артём Сергеевич,06.03.1987,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",178,выдвинут,зарегистрирован,29.07.2016,10/22
786,Копьев Василий Владимирович,08.02.1991,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,177,выдвинут,зарегистрирован,29.07.2016,12/24
838,Потанкина Гульнур Ахатовна,18.02.1953,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,178,выдвинут,зарегистрирован,29.07.2016,10/21
917,Александров Артём Романович,27.01.1991,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",178,выдвинут,зарегистрирован,20.07.2016,7/14
980,Жидков Андрей Игоревич,08.05.1962,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",177,выдвинут,зарегистрирован,20.07.2016,9/15
1314,Сусаков Константин Валерьевич,07.11.1970,Политическая партия ЛДПР - Либерально-демократическая партия России,177,выдвинут,зарегистрирован,20.07.2016,9/14
1319,Телегин Игорь Вячеславович,06.05.1964,Политическая партия ЛДПР - Либерально-демократическая партия России,178,выдвинут,зарегистрирован,20.07.2016,7/13
1403,Жилкин Владимир Владимирович,21.12.1974,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",178,выдвинут,отказ в регистрации,30.07.2016,11/25
1501,Грекова Ольга Александровна,05.05.1977,"Политическая партия ""ПАТРИОТЫ РОССИИ""",177,выдвинут,зарегистрирован,05.08.2016,13/31
1868,Панфилов Сергей Анатольевич,12.09.1974,"Политическая партия ""Российская экологическая партия ""Зеленые""",177,выдвинут,зарегистрирован,29.07.2016,12/28
2066,Пашинин Виктор Иванович,12.02.1955,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,178,выдвинут,зарегистрирован,29.07.2016,10/24
2079,Попова Ирина Степановна,19.04.1952,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,177,выдвинут,зарегистрирован,29.07.2016,12/26
2268,Кобяков Николай Сергеевич,19.12.1992,Самовыдвижение,177,выдвинут,отказ в регистрации,10.08.2016,14/35
2405,Толкачев Андрей Андреевич,28.05.1957,Самовыдвижение,177,выдвинут,отказ в регистрации,10.08.2016,14/34
