ord,fio,bday,party,okrug,vidvinut,registr,data,num
33,Васильев Владимир Абдуалиевич,11.08.1949,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",180,выдвинут,зарегистрирован,28.07.2016,19/229-6
114,Максимова Светлана Викторовна,16.07.1961,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",179,выдвинут,зарегистрирован,28.07.2016,19/230-6
424,Дешёвкин Вадим Николаевич,10.06.1969,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",179,выдвинут,зарегистрирован,06.08.2016,24/312-6
564,Васильева Надежда Александровна,22.05.1973,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",180,утративший статус выдвинутого кандидата,,04.08.2016,23/295-6
617,Шкляр Вадим Владимирович,27.07.1982,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",180,выдвинут,зарегистрирован,04.08.2016,23/292-6
645,Комарницкий Роман Русланович,23.07.1992,"Политическая партия ""Гражданская Платформа""",180,выдвинут,зарегистрирован,06.08.2016,24/311-6
777,Клейменов Илья Юрьевич,03.07.1980,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,179,выдвинут,зарегистрирован,04.08.2016,23/291-6
861,Слитинский Дмитрий Юрьевич,27.12.1983,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,180,выдвинут,зарегистрирован,04.08.2016,23/290-6
951,Воробьёва Людмила Фёдоровна,30.03.1952,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",179,выдвинут,зарегистрирован,04.08.2016,23/293-6
964,Гончаров Артем Сергеевич,17.08.1980,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",180,выдвинут,зарегистрирован,04.08.2016,23/294-6
1152,Барастов Владимир Станиславович,26.03.1966,Политическая партия ЛДПР - Либерально-демократическая партия России,180,выдвинут,зарегистрирован,19.07.2016,14/156-6
1266,Морозов Антон Юрьевич,24.02.1972,Политическая партия ЛДПР - Либерально-демократическая партия России,179,выдвинут,зарегистрирован,25.07.2016,18/210-6
1380,Белова Марина Викторовна,21.04.1972,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",180,выдвинут,зарегистрирован,04.08.2016,23/288-6
1613,Алексеев Игорь Анатольевич,11.04.1969,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",179,выдвинут,зарегистрирован,04.08.2016,23/286-6
1747,Сорокин Александр Сергеевич,27.02.1952,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",180,выдвинут,зарегистрирован,04.08.2016,23/289-6
2002,Каноков Тимур Борисович,24.09.1972,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,180,выдвинут,зарегистрирован,04.08.2016,23/287-6
2128,Чепа Алексей Васильевич,22.11.1955,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,179,выдвинут,зарегистрирован,31.07.2016,21/248-6
2283,Кудзелько Елена Александровна,14.09.1955,Самовыдвижение,180,утративший статус выдвинутого кандидата,,04.08.2016,23/297-6
