ord,fio,bday,party,okrug,vidvinut,registr,data,num
8,Афонский Владимир Игорьевич,10.10.1966,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",184,выдвинут,зарегистрирован,25.07.2016,176-2
50,Дзюба Виктор Викторович,10.08.1977,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",183,выдвинут,зарегистрирован,25.07.2016,176-1
236,Батищева Елизавета Андреевна,21.03.1993,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",183,выдвинут,зарегистрирован,28.07.2016,177-5
275,Жукова Анастасия Владимировна,02.03.1993,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",184,выдвинут,зарегистрирован,28.07.2016,177-6
413,Годунов Владимир Борисович,01.05.1976,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",183,выдвинут,зарегистрирован,28.07.2016,177-1
479,Новгородов Алексей Викторович,12.04.1961,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",184,выдвинут,зарегистрирован,28.07.2016,177-2
582,Сокол Халил Эльдарович,19.11.1990,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",183,выдвинут,отказ в регистрации,09.08.2016,183-1
690,Абдулганиев Ильдар Инсанович,23.07.1988,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,184,выдвинут,зарегистрирован,28.07.2016,177-4
857,Сахаров Олег Валериевич,13.06.1984,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,183,выдвинут,зарегистрирован,28.07.2016,177-3
1007,Косарева Татьяна Геннадьевна,13.05.1973,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",183,выдвинут,зарегистрирован,25.07.2016,176-3
1017,Лебедев Олег Александрович,12.10.1976,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",184,выдвинут,зарегистрирован,25.07.2016,176-4
1151,Балберов Александр Александрович,28.08.1962,Политическая партия ЛДПР - Либерально-демократическая партия России,184,выдвинут,зарегистрирован,14.07.2016,173-2
1228,Киндеев Илья Игоревич,28.01.1989,Политическая партия ЛДПР - Либерально-демократическая партия России,183,выдвинут,зарегистрирован,14.07.2016,173-1
1401,Ефремов Роман Николаевич,20.04.1971,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",184,выдвинут,зарегистрирован,28.07.2016,177-10
1415,Конев Герман Карпович,28.05.1962,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",183,выдвинут,зарегистрирован,28.07.2016,177-9
1644,Дорохов Владимир Юрьевич,26.04.1985,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",183,выдвинут,зарегистрирован,28.07.2016,177-11
1684,Коновалова Елена Викторовна,09.11.1961,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",184,выдвинут,зарегистрирован,28.07.2016,177-12
1884,Сафонова Елена Владимировна,18.11.1970,"Политическая партия ""Российская экологическая партия ""Зеленые""",183,выдвинут,зарегистрирован,28.07.2016,177-7
1888,Серегин Михаил Юрьевич,01.02.1968,"Политическая партия ""Российская экологическая партия ""Зеленые""",184,выдвинут,зарегистрирован,28.07.2016,177-8
1970,Гребенщиков Сергей Валерьевич,08.09.1981,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,184,выдвинут,зарегистрирован,21.07.2016,175-3
2019,Кузнецов Анатолий Михайлович,23.11.1963,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,183,выдвинут,зарегистрирован,21.07.2016,175-2
2341,Парахин Владимир Вячеславович,10.05.1968,Самовыдвижение,184,выдвинут,отказ в регистрации,09.08.2016,183-2
