ord,fio,bday,party,okrug,vidvinut,registr,data,num
31,Валеев Эрнест Абдулович,07.04.1950,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",185,выдвинут,зарегистрирован,22.07.2016,177/180-5
89,Квитка Иван Иванович,04.05.1967,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",186,выдвинут,зарегистрирован,25.07.2016,178/1093-5
210,Гончаров Михаил Сергеевич,04.02.1977,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",185,выдвинут,отказ в регистрации,13.08.2016,183/1150-5
220,Михайлов Алексей Владимирович,02.12.1977,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",186,выдвинут,отказ в регистрации,13.08.2016,183/1151-5
239,Бикмулин Марат Хамитович,04.01.1978,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",185,выдвинут,зарегистрирован,02.08.2016,180/1124-5
271,Ергалиев Алексей Аликович,25.11.1983,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",186,выдвинут,зарегистрирован,02.08.2016,180/1125-5
482,Новоселов Александр Николаевич,04.08.1982,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",185,выдвинут,зарегистрирован,28.07.2016,179/1105-5
575,Михайлов Константин Викторович,25.06.1982,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",186,выдвинут,отказ в регистрации,13.08.2016,183/1149-5
578,Поддубный Евгений Сергеевич,09.02.1981,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",185,выдвинут,отказ в регистрации,13.08.2016,183/1148-5
599,Комольцев Николай Вячеславович,01.08.1993,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",185,выдвинут,зарегистрирован,28.07.2016,179/1109-5
817,Нестерова Наталия Владимировна,08.06.1980,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,186,выдвинут,зарегистрирован,25.07.2016,178/1098-5
854,Сафиева Евгения Юрьевна,26.03.1983,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,185,выдвинут,зарегистрирован,25.07.2016,178/1094-5
975,Дорохин Павел Сергеевич,25.10.1965,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",185,выдвинут,зарегистрирован,22.07.2016,177/1086-5
1122,Чепик Александр Федорович,11.04.1980,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",186,выдвинут,зарегистрирован,25.07.2016,178/1099-5
1209,Зайцев Артем Николаевич,22.05.1984,Политическая партия ЛДПР - Либерально-демократическая партия России,186,выдвинут,зарегистрирован,13.07.2016,172/1024-5
1328,Трубин Глеб Александрович,05.06.1988,Политическая партия ЛДПР - Либерально-демократическая партия России,185,выдвинут,зарегистрирован,13.07.2016,172/1023-5
1420,Куниловский Александр Александрович,18.07.1980,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",186,выдвинут,зарегистрирован,22.07.2016,177/1081-5
1469,Чекмарёв Александр Михайлович,09.12.1948,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",185,выдвинут,зарегистрирован,28.07.2016,179/1110-5
1547,Невзоров Александр Сергеевич,13.02.1989,"Политическая партия ""ПАТРИОТЫ РОССИИ""",185,выдвинут,зарегистрирован,28.07.2016,179/1108-5
1673,Кириллов Дмитрий Александрович,15.04.1964,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",186,выдвинут,зарегистрирован,05.08.2016,181/1136-5
1741,Семенова Анжела Александровна,26.04.1976,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",185,выдвинут,зарегистрирован,28.07.2016,179/1111-5
1784,Агарков Андрей Александрович,01.06.1964,"Политическая партия ""Российская экологическая партия ""Зеленые""",186,выдвинут,зарегистрирован,25.07.2016,178/1097-5
1914,Щукин Валерий Александрович,09.10.1963,"Политическая партия ""Российская экологическая партия ""Зеленые""",185,выдвинут,зарегистрирован,28.07.2016,179/1104-5
2055,Морев Сергей Николаевич,03.12.1976,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,185,выдвинут,зарегистрирован,21.07.2016,176/1072-5
2133,Шарпатов Владимир Ильич,21.03.1940,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,186,выдвинут,зарегистрирован,22.07.2016,177/1084-5
