ord,fio,bday,party,okrug,vidvinut,registr,data,num
180,Тихонов Игорь Викторович,22.02.1967,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",187,выдвинут,зарегистрирован,23.07.2016,103/1017-5
182,Третьяк Владислав Александрович,25.04.1952,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",188,выдвинут,зарегистрирован,23.07.2016,103/1018-5
282,Ильясов Руслан Ринатович,24.06.1975,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",188,выдвинут,зарегистрирован,28.07.2016,104/1032-5
290,Клюшенков Николай Николаевич,24.05.1966,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",187,выдвинут,зарегистрирован,23.07.2016,103/1021-5
397,Басенков Владимир Вячеславович,11.04.1989,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",187,выдвинут,зарегистрирован,28.07.2016,104/1031-5
750,Жеребов Владимир Константинович,14.03.1953,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,187,выдвинут,отказ в регистрации,12.08.2016,107/1073-5
805,Манохина Александра Александровна,27.09.1946,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,188,выдвинут,отказ в регистрации,12.08.2016,107/1074-5
1014,Куринный Алексей Владимирович,18.01.1974,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",187,выдвинут,зарегистрирован,23.07.2016,103/1022-5
1083,Синельщиков Юрий Петрович,26.09.1947,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",188,выдвинут,зарегистрирован,23.07.2016,103/1016-5
1187,Грачев Дмитрий Николаевич,22.01.1972,Политическая партия ЛДПР - Либерально-демократическая партия России,188,выдвинут,зарегистрирован,18.07.2016,101/978-5
1256,Маринин Сергей Владимирович,04.11.1971,Политическая партия ЛДПР - Либерально-демократическая партия России,187,выдвинут,зарегистрирован,18.07.2016,101/979-5
1383,Брагин Александр Александрович,21.03.1983,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",188,выдвинут,зарегистрирован,28.07.2016,104/1034-5
1391,Гебель Эдуард Александрович,11.11.1981,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",187,выдвинут,зарегистрирован,28.07.2016,104/1029-5
1560,Пронин Сергей Борисович,30.05.1959,"Политическая партия ""ПАТРИОТЫ РОССИИ""",187,выдвинут,зарегистрирован,23.07.2016,103/1015-5
1638,Горячев Олег Юрьевич,29.07.1961,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",187,выдвинут,зарегистрирован,28.07.2016,104/1030-5
1675,Кислица Николай Николаевич,29.09.1957,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",188,выдвинут,зарегистрирован,28.07.2016,104/1033-5
1927,Архипов Алексей Анатольевич,07.09.1974,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,188,выдвинут,зарегистрирован,23.07.2016,103/1020-5
2022,Кулаков Алексей Владимирович,04.10.1983,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,187,выдвинут,зарегистрирован,23.07.2016,103/1019-5
