ord,fio,bday,party,okrug,vidvinut,registr,data,num
1,Барышев Андрей Викторович,02.02.1966,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",189,выдвинут,зарегистрирован,01.08.2016,20/71-4
13,Бахметьев Виталий Викторович,12.08.1961,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",192,выдвинут,зарегистрирован,29.07.2016,12/76-4
29,Бурматов Владимир Владимирович,18.08.1981,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",190,выдвинут,зарегистрирован,02.08.2016,19/96-4
96,Колесников Олег Алексеевич,11.09.1968,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",193,выдвинут,зарегистрирован,29.07.2016,14/179-4
107,Литовченко Анатолий Григорьевич,01.01.1960,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",191,выдвинут,зарегистрирован,01.08.2016,19/98-4
219,Лавришин Егор Владимирович,27.06.1987,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",189,выдвинут,отказ в регистрации,13.08.2016,26/102-4
252,Гараев Алексей Иванович,18.12.1971,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",192,выдвинут,зарегистрирован,02.08.2016,13/88-4
258,Горбачёв Дмитрий Юрьевич,31.01.1980,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",191,выдвинут,зарегистрирован,01.08.2016,19/96-4
374,Тургумбаев Валихан Урсбаевич,11.05.1970,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",193,выдвинут,зарегистрирован,01.08.2016,15/186-4
419,Гуменюк Юрий Юрьевич,02.03.1970,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",193,выдвинут,зарегистрирован,02.08.2016,16/189-4
451,Корда Ольга Анатольевна,29.09.1980,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",192,выдвинут,зарегистрирован,29.07.2016,12/78-4
560,Яцун Андрей Николаевич,23.04.1961,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",190,выдвинут,зарегистрирован,08.08.2016,21/103-4
602,Кунгурцев Алексей Александрович,04.08.1978,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",189,выдвинут,зарегистрирован,01.08.2016,20/76-4
659,Мухаметшин Рамиль Анварович,25.06.1962,"Политическая партия ""Гражданская Платформа""",189,выдвинут,зарегистрирован,01.08.2016,20/72-4
688,Барышев Сергей Геннадьевич,14.10.1987,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,189,выдвинут,зарегистрирован,28.07.2016,19/65-4
714,Быков Василий Петрович,08.10.1959,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,193,выдвинут,выбывший (после регистрации) кандидат,15.08.2016,21/235-4
727,Горбачёв Владимир Иванович,13.08.1946,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,190,выдвинут,зарегистрирован,05.08.2016,20/98-4
745,Дроздов Николай Иванович,05.07.1957,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,192,выдвинут,зарегистрирован,29.07.2016,12/79-4
910,Яровой Николай Афанасьевич,17.02.1950,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,191,выдвинут,зарегистрирован,29.07.2016,18/90-4
962,Гильмутдинов Эльдар Рафаильевич,04.08.1983,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",189,выдвинут,зарегистрирован,01.08.2016,20/70-4
976,Егоров Игорь Викторович,07.03.1974,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",192,выдвинут,зарегистрирован,02.08.2016,13/87-4
1032,Нациевский Константин Олегович,19.06.1967,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",190,выдвинут,зарегистрирован,05.08.2016,20/99-4
1033,Никитчук Иван Игнатьевич,21.05.1944,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",193,выдвинут,зарегистрирован,29.07.2016,14/178-4
1128,Шаргунов Сергей Александрович,12.05.1980,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",191,выдвинут,зарегистрирован,01.08.2016,19/99-4
1169,Вайнштейн Сергей Евгеньевич,13.09.1978,Политическая партия ЛДПР - Либерально-демократическая партия России,193,выдвинут,зарегистрирован,02.08.2016,16/190-4
1279,Пашин Виталий Львович,30.08.1981,Политическая партия ЛДПР - Либерально-демократическая партия России,190,выдвинут,зарегистрирован,26.07.2016,16/84-4
1296,Самохвалов Андрей Юрьевич,22.09.1989,Политическая партия ЛДПР - Либерально-демократическая партия России,191,выдвинут,зарегистрирован,25.07.2016,17/85-4
1336,Федоров Николай Сергеевич,05.08.1980,Политическая партия ЛДПР - Либерально-демократическая партия России,192,выдвинут,зарегистрирован,02.08.2016,13/89-4
1338,Федотова Екатерина Игоревна,02.06.1989,Политическая партия ЛДПР - Либерально-демократическая партия России,189,выдвинут,зарегистрирован,28.07.2016,19/67-4
1371,Асатуллин Гамиль Юсупович,21.03.1973,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",189,выдвинут,зарегистрирован,01.08.2016,20/74-4
1447,Потапов Василий Сергеевич,10.06.1977,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",193,выдвинут,зарегистрирован,01.08.2016,15/185-4
1448,Приходкина Валерия Юрьевна,24.04.1960,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",191,выдвинут,зарегистрирован,29.07.2016,18/89-4
1462,Табалов Алексей Викторович,24.10.1976,"Политическая партия ""Партия народной свободы"" (ПАРНАС)",190,выдвинут,зарегистрирован,01.08.2016,18/93-4
1502,Гриценко Константин Владимирович,21.03.1980,"Политическая партия ""ПАТРИОТЫ РОССИИ""",191,выдвинут,зарегистрирован,01.08.2016,19/97-4
1530,Кошмар Василий Эдуардович,04.03.1991,"Политическая партия ""ПАТРИОТЫ РОССИИ""",193,выдвинут,зарегистрирован,29.07.2016,14/180-4
1546,Навроцкая Елена Александровна,19.07.1969,"Политическая партия ""ПАТРИОТЫ РОССИИ""",190,выдвинут,зарегистрирован,08.08.2016,21/102-4
1563,Разживин Михаил Юрьевич,30.11.1977,"Политическая партия ""ПАТРИОТЫ РОССИИ""",189,выдвинут,зарегистрирован,01.08.2016,20/73-4
1739,Севастьянов Алексей Михайлович,31.08.1977,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",190,выдвинут,зарегистрирован,02.08.2016,19/97-4
1753,Таврина Наталья Юрьевна,06.01.1971,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",193,выдвинут,зарегистрирован,01.08.2016,15/187-4
1754,Талевлин Андрей Александрович,24.01.1973,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",189,выдвинут,зарегистрирован,08.08.2016,23/84-4
1773,Шичков Сергей Владимирович,28.10.1983,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",192,выдвинут,зарегистрирован,02.08.2016,13/90-4
1776,Щербаков Ярослав Евгеньевич,22.12.1987,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",191,выдвинут,зарегистрирован,01.08.2016,19/100-4
1859,Неуймин Алексей Викторович,26.04.1975,"Политическая партия ""Российская экологическая партия ""Зеленые""",189,выдвинут,зарегистрирован,01.08.2016,20/75-4
1960,Волошина Гузелия Радиковна,17.04.1966,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,189,выдвинут,зарегистрирован,28.07.2016,19/66-4
1963,Гартунг Валерий Карлович,12.11.1960,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,191,выдвинут,зарегистрирован,25.07.2016,17/84-4
2056,Мухометьярова Ольга Ивановна,09.02.1971,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,192,выдвинут,зарегистрирован,29.07.2016,12/77-4
2064,Панкратов Николай Викторович,01.01.1961,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,193,выдвинут,зарегистрирован,26.07.2016,13/170-4
2134,Швецов Василий Георгиевич,10.04.1961,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,190,выдвинут,зарегистрирован,30.07.2016,17/91-4
2153,Андрюков Андрей Александрович,12.07.1965,Самовыдвижение,191,утративший статус выдвинутого кандидата,,03.08.2016,
2165,Баев Александр Вадимович,17.04.1994,Самовыдвижение,193,утративший статус выдвинутого кандидата,,29.07.2016,б/н
2166,Баженов Тимофей Тимофеевич,25.01.1976,Самовыдвижение,191,утративший статус выдвинутого кандидата,,02.08.2016,
2172,Барчук Иван Петрович,08.02.1987,Самовыдвижение,193,утративший статус выдвинутого кандидата,,03.08.2016,б/н
2271,Копа Елена Владимировна,06.01.1985,Самовыдвижение,193,выдвинут,отказ в регистрации,13.08.2016,20/227-4
2319,Минниханов Игорь Фаритович,28.06.1986,Самовыдвижение,190,утративший статус выдвинутого кандидата,,03.08.2016,
2326,Небаев Кирилл Олегович,06.10.1988,Самовыдвижение,189,выдвинут,отказ в регистрации,08.08.2016,23/85-4
2329,Нурмухаметов Илья Анатольевич,02.08.1973,Самовыдвижение,189,утративший статус выдвинутого кандидата,,11.07.2016,
2343,Пастухов Антон Игоревич,22.06.1989,Самовыдвижение,193,утративший статус выдвинутого кандидата,,03.08.2016,б/н
2363,Пупков Сергей Владимирович,11.09.1992,Самовыдвижение,193,утративший статус выдвинутого кандидата,,03.08.2016,б/н
2413,Усков Валерий Викторович,27.05.1976,Самовыдвижение,193,выдвинут,отказ в регистрации,13.08.2016,20/228-4
2445,Юревич Михаил Валериевич,13.02.1969,Самовыдвижение,189,утративший статус выдвинутого кандидата,,08.07.2016,
