ord,fio,bday,party,okrug,vidvinut,registr,data,num
11,Барсукова Татьяна Митрофановна,13.12.1953,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",200,утративший статус выдвинутого кандидата,,22.07.2016,7/8
15,Белых Ирина Викторовна,16.08.1964,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",207,выдвинут,зарегистрирован,27.07.2016,10/9
37,Выборный Анатолий Борисович,08.06.1965,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",210,выдвинут,зарегистрирован,25.07.2016,11/07
42,Гончар Николай Николаевич,18.10.1946,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",208,выдвинут,зарегистрирован,21.07.2016,7/1
53,Духанина Любовь Николаевна,05.10.1958,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",203,выдвинут,зарегистрирован,20.07.2016,7/5
58,Жарков Антон Викторович,03.10.1967,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",205,выдвинут,зарегистрирован,26.07.2016,8/9
59,Железняк Сергей Владимирович,30.07.1970,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",204,выдвинут,зарегистрирован,26.07.2016,12/5
109,Лысаков Вячеслав Иванович,10.11.1953,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",197,выдвинут,зарегистрирован,21.07.2016,8/25
123,Морозов Дмитрий Анатольевич,05.05.1971,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",209,выдвинут,зарегистрирован,02.08.2016,11/2
135,Онищенко Геннадий Григорьевич,20.11.1950,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",206,выдвинут,зарегистрирован,26.07.2016,7/2
138,Панина Елена Владимировна,29.04.1948,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",201,выдвинут,зарегистрирован,21.07.2016,7/2
155,Саблин Дмитрий Вадимович,05.09.1968,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",202,выдвинут,зарегистрирован,26.07.2016,8/6
178,Тетерин Иван Михайлович,12.01.1952,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",196,выдвинут,зарегистрирован,22.07.2016,8/12
181,Толстой Петр Олегович,20.06.1969,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",199,выдвинут,зарегистрирован,21.07.2016,9/11
226,Растегаев Сергей Иванович,05.07.1976,"Всероссийская политическая партия ""ПАРТИЯ ВЕЛИКОЕ ОТЕЧЕСТВО""",205,выдвинут,отказ в регистрации,08.08.2016,11/1
234,Бадак Елена Сергеевна,13.05.1977,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",204,выдвинут,зарегистрирован,26.07.2016,12/8
237,Беленький Арсений Сергеевич,27.12.1979,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",205,выдвинут,зарегистрирован,26.07.2016,8/5
248,Владимирский Игорь Станиславович,01.04.1968,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",206,выдвинут,зарегистрирован,04.08.2016,9/5
266,Джагаев Иосиф Русланович,22.09.1989,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",201,выдвинут,зарегистрирован,25.07.2016,8/2
268,Долматов Михаил Михайлович,10.12.1970,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",199,выдвинут,зарегистрирован,28.07.2016,11/3
317,Мариничев Дмитрий Николаевич,12.07.1975,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",200,выдвинут,зарегистрирован,01.08.2016,9/3
319,Минеева Татьяна Вадимовна,03.10.1980,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",197,выдвинут,зарегистрирован,28.07.2016,10/50
329,Нечаев Андрей Алексеевич,02.02.1953,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",198,выдвинут,зарегистрирован,28.07.2016,12/1
360,Сиднев Виктор Владимирович,02.03.1955,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",202,выдвинут,зарегистрирован,02.08.2016,10/5
364,Соколова Ксения Янисовна,05.04.1971,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",208,выдвинут,зарегистрирован,04.08.2016,10/1
366,Станкевич Сергей Борисович,25.02.1954,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",209,выдвинут,зарегистрирован,02.08.2016,11/4
373,Топорнин Николай Борисович,05.11.1963,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",210,выдвинут,зарегистрирован,25.07.2016,11/09
381,Чернозубов Александр Сергеевич,31.08.1975,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",207,выдвинут,выбывший (после регистрации) кандидат,18.08.2016,15/1
387,Янсуков Рахман Шах Магомедович,23.07.1982,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",203,выдвинут,зарегистрирован,28.07.2016,10/3
398,Белый Константин Владимирович,11.03.1971,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",200,утративший статус выдвинутого кандидата,,22.07.2016,7/11
399,Белый Константин Владимирович,11.03.1971,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",205,выдвинут,зарегистрирован,02.08.2016,10/2
400,Бирюков Федор Владимирович,09.05.1978,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",199,выдвинут,зарегистрирован,23.07.2016,10/8
442,Калачев Валерий Валентинович,15.09.1966,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",198,выдвинут,зарегистрирован,28.07.2016,12/2
446,Касьмин Дмитрий Романович,21.01.1985,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",204,выдвинут,зарегистрирован,28.07.2016,13/4
447,Катасонова Мария Владимировна,30.07.1995,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",208,выдвинут,зарегистрирован,26.07.2016,8/2
449,Колесов Евгений Викторович,17.09.1980,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",197,выдвинут,зарегистрирован,25.07.2016,9/35
454,Коротченко Игорь Юрьевич,15.02.1960,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",206,выдвинут,зарегистрирован,26.07.2016,7/3
471,Меркулов Денис Валерьевич,22.12.1981,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",210,выдвинут,зарегистрирован,25.07.2016,11/10
495,Петровичев Алексей Николаевич,07.12.1979,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",209,выдвинут,зарегистрирован,29.07.2016,10/3
534,Федоров Георгий Владимирович,07.05.1973,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",201,выдвинут,зарегистрирован,02.08.2016,9\1
540,Худайбердиев Ибрагим Хидирович,01.10.1962,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",203,выдвинут,зарегистрирован,28.07.2016,10/4
555,Юкша Янис Александрович,16.05.1964,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",196,выдвинут,зарегистрирован,27.07.2016,10/4
559,Ярошевская Яна Вадимовна,01.05.1972,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",207,выдвинут,зарегистрирован,27.07.2016,10/6
572,Кондулайнен Елена Ивановна,09.04.1958,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",208,выдвинут,отказ в регистрации,13.08.2016,11/3
583,Шилов Александр Александрович,24.03.1974,"Общественная организация - Политическая партия ""ПАРТИЯ РОДИТЕЛЕЙ БУДУЩЕГО""",196,выдвинут,отказ в регистрации,09.08.2016,12/2
588,Гребенченко Василий Дмитриевич,10.08.1943,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",207,выдвинут,зарегистрирован,04.08.2016,11/3
590,Гуськов Александр Александрович,19.04.1984,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",198,выдвинут,зарегистрирован,28.07.2016,12/5
593,Елисеева Наталия Андреевна,26.11.1992,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",197,выдвинут,зарегистрирован,28.07.2016,10/48
597,Козулин Михаил Юрьевич,19.04.1969,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",199,выдвинут,зарегистрирован,28.07.2016,11/1
604,Михайлов Алексей Юрьевич,23.02.1963,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",208,выдвинут,зарегистрирован,26.07.2016,8/4
608,Траханов Федор Анисимович,13.10.1949,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",200,выдвинут,зарегистрирован,01.08.2016,9/1
609,Ухов Илья Евгеньевич,08.08.1985,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",209,выдвинут,зарегистрирован,02.08.2016,11/5
613,Чердаков Олег Иванович,08.10.1957,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",196,выдвинут,зарегистрирован,27.07.2016,10/2
614,Чугунов Дмитрий Александрович,25.02.1986,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",206,выдвинут,зарегистрирован,04.08.2016,9/4
615,Чуприна Анатолий Николаевич,21.12.1946,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",202,выдвинут,зарегистрирован,02.08.2016,10/1
616,Шемякин Максим Александрович,08.01.1977,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",204,выдвинут,зарегистрирован,28.07.2016,13/2
618,Шляпина Евдокия Борисовна,18.03.1966,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",205,выдвинут,зарегистрирован,26.07.2016,8/7
619,Щербаченко Петр Сергеевич,17.12.1985,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",210,выдвинут,зарегистрирован,25.07.2016,11/12
632,Григорович Кристина Георгиевна,19.08.1993,"Политическая партия ""Гражданская Платформа""",200,выдвинут,зарегистрирован,01.08.2016,9/7
641,Качанов Александр Алексеевич,14.04.1981,"Политическая партия ""Гражданская Платформа""",199,выдвинут,зарегистрирован,23.07.2016,10/3
646,Кононов Иван Васильевич,12.08.1993,"Политическая партия ""Гражданская Платформа""",205,выдвинут,зарегистрирован,02.08.2016,10/3
649,Косец Ольга Валентиновна,05.07.1971,"Политическая партия ""Гражданская Платформа""",202,выдвинут,зарегистрирован,02.08.2016,10/3
664,Расташанский Михаил Юрьевич,02.01.1974,"Политическая партия ""Гражданская Платформа""",210,выдвинут,зарегистрирован,25.07.2016,11/11
666,Руденко Андрей Викторович,19.01.1986,"Политическая партия ""Гражданская Платформа""",208,выдвинут,зарегистрирован,26.07.2016,8/5
686,Шумский Александр Николаевич,28.12.1986,"Политическая партия ""Гражданская Платформа""",206,выдвинут,зарегистрирован,04.08.2016,9/1
687,Юрченко Юрий Петрович,21.04.1962,"Политическая партия ""Гражданская Платформа""",198,выдвинут,зарегистрирован,28.07.2016,12/6
694,Абрамович Александр Борисович,27.09.1962,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,203,выдвинут,зарегистрирован,20.07.2016,7/2
703,Балабуткин Алексей Алексеевич,31.07.1979,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,204,выдвинут,зарегистрирован,26.07.2016,12/3
710,Блинов Вячеслав Борисович,26.03.1964,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,200,выдвинут,зарегистрирован,22.07.2016,7/6
729,Губанов Юрий Ильич,22.09.1954,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,196,выдвинут,зарегистрирован,22.07.2016,8/1
756,Захаров Дмитрий Александрович,02.07.1985,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,208,выдвинут,зарегистрирован,18.07.2016,6/4
787,Корепанов Сергей Геннадьевич,01.06.1979,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,207,выдвинут,зарегистрирован,27.07.2016,10/7
789,Кравченко Дмитрий Игоревич,02.01.1967,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,202,выдвинут,зарегистрирован,26.07.2016,8/5
791,Куваев Александр Александрович,28.04.1951,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,199,выдвинут,зарегистрирован,21.07.2016,9/12
810,Митина Дарья Александровна,14.08.1973,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,209,выдвинут,зарегистрирован,29.07.2016,10/2
827,Пахомов Петр Николаевич,12.07.1953,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,206,выдвинут,зарегистрирован,26.07.2016,7/5
853,Салтанович Владимир Петрович,19.01.1953,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,205,выдвинут,зарегистрирован,26.07.2016,8/3
865,Струков Владимир Александрович,03.03.1983,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,201,выдвинут,зарегистрирован,21.07.2016,7/9
876,Тюрин Николай Алексеевич,22.05.1949,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,197,выдвинут,зарегистрирован,21.07.2016,8/23
897,Чумаков Марк Леонидович,29.09.1936,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,210,выдвинут,зарегистрирован,25.07.2016,11/03
