ord,fio,bday,party,okrug,vidvinut,registr,data,num
36,Вострецов Сергей Алексеевич,04.04.1976,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",212,выдвинут,зарегистрирован,04.08.2016,9-1
51,Дивинский Игорь Борисович,13.12.1957,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",211,выдвинут,зарегистрирован,21.07.2016,6.2
87,Катенев Владимир Иванович,26.07.1955,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",215,выдвинут,зарегистрирован,28.07.2016,8-8
116,Марченко Евгений Евгеньевич,17.07.1972,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",213,выдвинут,зарегистрирован,29.07.2016,12-1
118,Милонов Виталий Валентинович,23.01.1974,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",218,выдвинут,зарегистрирован,29.07.2016,8-7
153,Романов Михаил Валентинович,03.11.1984,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",217,выдвинут,зарегистрирован,26.07.2016,8-65
235,Бакулин Владислав Юрьевич,09.06.1962,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",211,выдвинут,зарегистрирован,21.07.2016,6.1
251,Галкина Ольга Владимировна,01.04.1981,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",212,выдвинут,зарегистрирован,28.07.2016,8-8
267,Дмитриева Оксана Генриховна,03.04.1958,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",217,выдвинут,зарегистрирован,25.07.2016,7-60
291,Комолова Ирина Игоревна,27.03.1972,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",214,выдвинут,зарегистрирован,28.07.2016,9-4
298,Крутов Андрей Дмитриевич,18.02.1977,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",215,выдвинут,зарегистрирован,28.07.2016,8-5
337,Павлов Дмитрий Геннадьевич,05.04.1969,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",218,выдвинут,зарегистрирован,29.07.2016,8-1
341,Петухова Наталья Рэмовна,02.05.1954,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",213,выдвинут,зарегистрирован,29.07.2016,12-9
350,Резник Максим Львович,13.09.1974,"Всероссийская политическая партия ""ПАРТИЯ РОСТА""",216,выдвинут,зарегистрирован,25.07.2016,9-1
412,Герасимов Алексей Петрович,08.12.1977,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",212,выдвинут,зарегистрирован,28.07.2016,8-7
438,Иванов Андрей Спартакович,02.04.1959,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",211,выдвинут,зарегистрирован,27.07.2016,7.1
455,Кочергин Андрей Николаевич,21.02.1964,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",213,выдвинут,зарегистрирован,29.07.2016,12-5
494,Петров Андрей Николаевич,21.10.1976,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",214,выдвинут,зарегистрирован,29.07.2016,10-2
519,Соусов Вячеслав Евгеньевич,08.04.1969,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",215,выдвинут,зарегистрирован,01.08.2016,9-1
520,Спивачевский Павел Михайлович,08.07.1959,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",216,выдвинут,зарегистрирован,25.07.2016,9-7
535,Филоненко Анна Леонидовна,12.04.1979,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",218,выдвинут,зарегистрирован,29.07.2016,8-3
558,Яковлева Марьяна Борисовна,09.11.1986,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",217,выдвинут,зарегистрирован,29.07.2016,9-66
586,Булгаков Константин Сергеевич,19.01.1986,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",213,выдвинут,зарегистрирован,29.07.2016,12-12
591,Дмитриева Оксана Владимировна,19.05.1989,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",217,выдвинут,зарегистрирован,25.07.2016,7-59
600,Конторин Михаил Владимирович,24.05.1994,"Общественная организация Всероссийская политическая партия ""Гражданская Сила""",214,выдвинут,зарегистрирован,05.08.2016,11-1
633,Докторов Иван Евгеньевич,06.06.1993,"Политическая партия ""Гражданская Платформа""",214,выдвинут,зарегистрирован,28.07.2016,9-6
