ord,fio,bday,party,okrug,vidvinut,registr,data,num
40,Говорин Николай Васильевич,29.12.1952,"Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ""",43,выдвинут,зарегистрирован,01.08.2016,80/620-2
448,Катушев Александр Николаевич,07.03.1981,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",43,выдвинут,зарегистрирован,01.08.2016,80/623-2
553,Щебеньков Александр Викторович,17.03.1968,"ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА""",44,выдвинут,зарегистрирован,01.08.2016,80/621-2
675,Федоров Олег Анатольевич,16.04.1967,"Политическая партия ""Гражданская Платформа""",44,выдвинут,зарегистрирован,29.07.2016,79/601-2
699,Андреев Сергей Владимирович,18.01.1978,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,44,выдвинут,зарегистрирован,29.07.2016,79/604-2
833,Пименов Вячеслав Владимирович,27.04.1956,Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ,43,выдвинут,зарегистрирован,29.07.2016,79/605-2
957,Гайдук Юрий Николаевич,02.06.1950,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",44,выдвинут,зарегистрирован,04.08.2016,81/630-2
1051,Поздняков Владимир Георгиевич,30.06.1946,"Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ""",43,выдвинут,зарегистрирован,29.07.2016,79/602-2
1177,Волков Юрий Геннадьевич,01.06.1986,Политическая партия ЛДПР - Либерально-демократическая партия России,43,выдвинут,зарегистрирован,23.07.2016,77/595-2
1243,Кулиева Василина Васильевна,20.11.1981,Политическая партия ЛДПР - Либерально-демократическая партия России,44,выдвинут,зарегистрирован,23.07.2016,77/594-2
1596,Ушаков Вячеслав Иванович,16.04.1971,"Политическая партия ""ПАТРИОТЫ РОССИИ""",43,выдвинут,зарегистрирован,29.07.2016,79/603-2
1605,Щукин Геннадий Леонидович,20.12.1946,"Политическая партия ""ПАТРИОТЫ РОССИИ""",44,выдвинут,зарегистрирован,29.07.2016,79/600-2
1700,Линник Игорь Юрьевич,13.12.1963,"Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО""",44,выдвинут,зарегистрирован,04.08.2016,81/631-2
1931,Афицинский Валерий Александрович,26.09.1962,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,43,выдвинут,зарегистрирован,04.08.2016,81/629-2
2075,Попов Андрей Олегович,11.11.1976,Политическая партия СПРАВЕДЛИВАЯ РОССИЯ,44,выдвинут,зарегистрирован,01.08.2016,80/622-2
2170,Бальжаева Соёлма Васильевна,25.10.1970,Самовыдвижение,44,выдвинут,отказ в регистрации,14.08.2016,85/663-2
2182,Бобовская Светлана Владимировна,23.08.1957,Самовыдвижение,43,утративший статус выдвинутого кандидата,,11.08.2016,84/656-2
2264,Киреева Кристина Игоревна,12.11.1993,Самовыдвижение,43,утративший статус выдвинутого кандидата,,08.08.2016,82/645-2
2328,Новиков Павел Павлович,19.04.1980,Самовыдвижение,44,выдвинут,зарегистрирован,14.08.2016,85/661-2
2359,Праницкий-Кантемир Владимир Иванович,04.10.1972,Самовыдвижение,44,выдвинут,отказ в регистрации,14.08.2016,85/660-2
2443,Щербакова Екатерина Андреевна,14.12.1985,Самовыдвижение,44,выдвинут,отказ в регистрации,14.08.2016,85/662-2
